Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"A-","I0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"A+","I0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"Aext","Q0.2",Boolean,1,R/W,100,,,,,,,,,,"",
"Aret","Q0.3",Boolean,1,R/W,100,,,,,,,,,,"",
"B-","I0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"B+","I0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"Bext","Q0.4",Boolean,1,R/W,100,,,,,,,,,,"",
"Bret","Q0.5",Boolean,1,R/W,100,,,,,,,,,,"",
"C-","I0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"C+","I0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"Cext","Q0.6",Boolean,1,R/W,100,,,,,,,,,,"",
"Cret","Q0.7",Boolean,1,R/W,100,,,,,,,,,,"",
"Iman","Q1.0",Boolean,1,R/W,100,,,,,,,,,,"",
"Pos","I34.1",Boolean,1,R/W,100,,,,,,,,,,"",
"S1","I0.0",Boolean,1,R/W,100,,,,,,,,,,"",
"S2","Q0.1",Boolean,1,R/W,100,,,,,,,,,,"",
