"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"S.S., Tomar, Shivam Singh; A., Dewan, Anupam","Tomar, Shivam Singh (58109370600); Dewan, Anupam (7006876749)","58109370600; 7006876749","Enhancing efficiency of hybrid vertical axis turbine: Effect of various internal and external blades, collapsed rotor and reduced internal rotor velocity","2025","Renewable Energy","255","","123791","","","0","0","10.1016/j.renene.2025.123791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008639371&doi=10.1016%2Fj.renene.2025.123791&partnerID=40&md5=4a5783cd1a1890e1ba013ad0a3bc43ff","A hybrid turbine combining Savonius and Darrieus rotors enhances self-starting ability at lower tip speed ratios (TSRs) but suffers significant performance degradation at higher TSRs. This study introduces dynamic design modifications to tackle this challenge, including optimal selection of initial blade profiles, adjustments to the diameter and rotational speed of the internal Savonius rotor. A two-dimensional computational fluid dynamics (CFD) model, validated against experimental data, assesses these design changes. Shifting the internal rotor blade shape from semicircular to elliptical does not improve performance; however, altering the NACA profile to thinner aerofoils significantly enhances efficiency by 12 % at high TSRs. The collapsed rotor design enhances performance by 5–7 % for TSRs above 2.3 due to reduced vortex shedding. Among all the modifications considered, reducing the internal rotor velocity proves the most effective, achieving a peak power coefficient of 0.3354, surpassing that of Darrieus turbine. This study thoroughly analyses variations in torque and pressure coefficients resulting from these changes. It concludes by proposing a novel dynamic design integrating blade shape thickness morphing with reduced internal rotor velocity, thus contributing to sustainable development by optimizing turbine performance across different TSRs. © 2025 Elsevier B.V., All rights reserved.","Collapsed Rotor; Dynamic Design; Hybrid Turbine; Power Coefficient; Reduced Internal Rotor Velocity; Savonius-darrieus Turbine; Tip Speed Ratio; Starting; Turbine Components; Turbomachine Blades; Collapsed Rotor; Darrieus Turbine; Dynamic Design; Hybrid Turbine; Internal-rotor; Power Coefficients; Reduced Internal Rotor Velocity; Rotor Velocity; Savonii-darrieus Turbine; Tip Speed Ratio; Efficiency; Computational Fluid Dynamics; Energy Efficiency; Numerical Model; Turbine; Vortex Flow","Starting; Turbine components; Turbomachine blades; Collapsed rotor; Darrieus turbine; Dynamic design; Hybrid turbine; Internal-rotor; Power coefficients; Reduced internal rotor velocity; Rotor velocity; Savonii-darrieus turbine; Tip speed ratio; Efficiency; computational fluid dynamics; energy efficiency; numerical model; turbine; vortex flow","Article","Final","","Scopus","2-s2.0-105008639371"
"M., Essahraoui, Marouane; R., EL Bouayadi, Rachid; M., El-Ganaoui, Mohammed; A., Saad, Aouatif","Essahraoui, Marouane (58193120700); EL Bouayadi, Rachid (6505859848); El-Ganaoui, Mohammed (6603833952); Saad, Aouatif (55340452100)","58193120700; 6505859848; 6603833952; 55340452100","Undulatory Shape Distributed along the Concave Surface of Savonius Wind Turbine Blade Inspired by the Flower of Life Concept","2025","CFD Letters","17","11","","50","70","0","0","10.37934/CFDL.17.11.5070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008716538&doi=10.37934%2FCFDL.17.11.5070&partnerID=40&md5=2dec6ebd51ab71f32622cb7abf340c62","This research aimed to quantitatively investigate the impact of a novel approach, known as the undulatory form inspired by the flower of life concept, on the performance of conventional Savonius Wind Turbine (SWT). This approach entails the replacement of the conventional SWT's concave surface with a series of small blades, distributed in both convex and concave positions, arranged in an undulating pattern along the surface. Four models have been tested (MODEL22, MODEL30, MODEL60 and MODEL80) in an attempt to verify the effectiveness of this new method in enhancing wind turbine power coefficient. We use ANSYS Fluent software to solve the Unsteady Reynolds-Averaged Navier-Stokes (URANS) and the SST k-omega turbulence model equations. The experimental and numerical data supported the innovative methodology, which was meant to show how it could increase the wind turbine's power coefficient in a tip speed ratio (TSR) range of 0.5 to 1.2 while keeping a 15% overlap ratio (OR) relative to the rotor diameter and an inlet velocity of 7 m/s with a R<inf>e</inf> = 4.43 × 105. We conducted a comparison between our innovative model and the experimental and numerical studies and found that the undulatory shape significantly improved the power coefficient. MODEL60 was the optimal model, showing an improvement of 17.34% at TSR = 0.7 compared to a wavy-form numerical study and 6.25% at TSR = 1 compared to the experimental study. © 2025 Elsevier B.V., All rights reserved.","Cfd; Flower Of Life; Moment Coefficient; Power Coefficient; Swt; Undulations","","Article","Final","","Scopus","2-s2.0-105008716538"
"M.S., Abdullah, M. S.; M.S., Zainol Abidin, M. Shukur; F., Ismail, Farzad","Abdullah, M. S. (55780908800); Zainol Abidin, M. Shukur (58034310000); Ismail, Farzad (22950639500)","55780908800; 58034310000; 22950639500","New strategy for enhancing Savonius turbine efficiency through delayed flow separation with advanced flow control","2025","Energy","333","","137309","","","0","0","10.1016/j.energy.2025.137309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009307112&doi=10.1016%2Fj.energy.2025.137309&partnerID=40&md5=df06514de9cfd92c0470a9ef8b6ad5eb","This study introduces a novel active flow control method for Savonius wind turbines using suction cavities to enhance the aerodynamic performance. The primary objective is to delay flow separation on the convex side of the advancing blade at specific azimuthal angles during rotation. Flow separation in this region, caused by adverse pressure gradients, typically limits the effective area for lift generation, reducing torque and efficiency. By implementing suction cavities that extract air from the blade surface, the flow remains attached further toward the blade root, thereby widening the surface area over which lift is generated. Computational fluid dynamics (CFD) simulations were conducted to validate the effectiveness of the proposed method. The rotor with suction cavities (optimized case) demonstrated a significant improvement in the coefficient of power (C<inf>P</inf>) compared to the base rotor performance. The optimized case achieved a Cp of 0.546 at a tip-speed ratio (TSR) of 0.9 and reached a peak C<inf>P</inf> of 0.622 at TSR = 1.01, exceeding the theoretical Betz limit due to the introduction of external energy through an active flow control. Analysis of pressure and velocity contours revealed that the suction cavities create a low-pressure region along the convex surface, enhance flow attachment, and increase lift forces and torque generation. The findings indicate that the use of suction cavities as an active flow control mechanism is effective in enhancing the efficiency of Savonius turbines. © 2025 Elsevier B.V., All rights reserved.","Active Flow Control; Cavity; Cfd Simulation; Savonius Turbine; Suction Cavities; Flow Separation; Lift; Turbine Components; Turbomachine Blades; Wind Turbines; Active Flow Control; Cavity; Coefficient Of Power; Computational Fluid Dynamics Simulations; Flow Control Methods; Savonius Turbine; Savonius Wind Turbine; Suction Cavity; Tip Speed Ratio; Turbine Efficiency; Computational Fluid Dynamics; Flow Control; Cavity; Computational Fluid Dynamics; Flow Control; Suction; Surface Area; Torque; Turbine","Flow separation; Lift; Turbine components; Turbomachine blades; Wind turbines; Active flow control; Cavity; Coefficient of power; Computational fluid dynamics simulations; Flow control methods; Savonius turbine; Savonius wind turbine; Suction cavity; Tip speed ratio; Turbine efficiency; Computational fluid dynamics; Flow control; cavity; computational fluid dynamics; flow control; suction; surface area; torque; turbine","Article","Final","","Scopus","2-s2.0-105009307112"
"A., Ayadi, Ahmed; N., Rabeh, Nour; J., Marzougui, Jihen; R., Ennetta, Ridha; Z., Driss, Zied","Ayadi, Ahmed (57193414078); Rabeh, Nour (59450073800); Marzougui, Jihen (60032256600); Ennetta, Ridha (24340507000); Driss, Zied (9336856600)","57193414078; 59450073800; 60032256600; 24340507000; 9336856600","Investigation of the blade tip geometry for improved performance of a Savonius rotor","2025","Results in Engineering","27","","106745","","","0","0","10.1016/j.rineng.2025.106745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013155526&doi=10.1016%2Fj.rineng.2025.106745&partnerID=40&md5=9de7a05937f16b23710d288b892645e2","Savonius wind rotors are highly effective at capturing wind energy due to their unique design, which includes vertically curved blades that can harness wind from multiple directions. This study focuses on optimizing the performance of a two-bladed Savonius wind rotor using Computational Fluid Dynamics (CFD) simulations in ANSYS Fluent, with results validated against experimental data. Novel blade shapes are assessed to determine their impact on torque generation, power output, and key performance indicators such as velocity and pressure distributions. Three configurations are proposed, including modifications at the blade ends, modifications near the rotor center, and combined modifications at both the ends and the center. The results demonstrate that optimizing blade geometry can significantly enhance torque generation and power output, leading to improved energy capture. Specifically, several modified Savonius rotors have achieved higher power coefficients (Cp) compared to the standard Savonius rotor design. Among these cases, the optimized configuration reached a peak power coefficient of 0.285 at a Tip Speed Ratio (TSR) of 1.2. This represents a 20.76 % improvement over the standard Savonius rotor at the same TSR. © 2025 Elsevier B.V., All rights reserved.","Design; Performance; Rotor Efficiency; Savonius Rotor; Vawt; Wind Turbine; Coefficient Of Performance; Optimization; Rotors; Turbomachine Blades; Wind Power; Blade Tip Geometry; Performance; Power Coefficients; Power Output; Rotor Efficiency; Savonius Rotor; Savonius Wind Rotor; Tip Speed Ratio; Torque Generation; Vawt; Design","Coefficient of performance; Optimization; Rotors; Turbomachine blades; Wind power; Blade tip geometry; Performance; Power coefficients; Power output; Rotor efficiency; Savonius rotor; Savonius wind rotor; Tip speed ratio; Torque generation; VAWT; Design","Article","Final","","Scopus","2-s2.0-105013155526"
"D.D., Prasad, Deepak Divashkar; M.R., Ahmed, M. Rafiuddin; Y.H., Lee, Young Ho","Prasad, Deepak Divashkar (36059980000); Ahmed, M. Rafiuddin (36130032200); Lee, Young Ho (55716115100)","36059980000; 36130032200; 55716115100","Performance improvement of a full-scale oscillating water column device by employing a novel double oscillating water column","2025","Proceedings of the Institution of Mechanical Engineers Part M: Journal of Engineering for the Maritime Environment","239","3","","635","648","0","0","10.1177/14750902241299585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212218719&doi=10.1177%2F14750902241299585&partnerID=40&md5=0a17da106f512f0435bf0b4fea921616","The energy present in the ocean surface waves can be extracted using an oscillating water column (OWC) device. In the present work, the performance characteristics of a normal OWC, an opposite OWC and a novel double OWC employing Savonius rotors are investigated at different sea states in a numerical wave tank (NWT) using the computational fluid dynamics (CFD) code ANSYS-CFX. The Savonius rotor is known to be an inexpensive energy harvesting device. The waves in the NWT were generated using a piston type wave-maker. The results from the computational work were compared with experimental work. For the normal OWC, a maximum power output of 18.85 kW, which corresponds to an efficiency of 22.44% was recorded at 60 rpm for the mean wave condition. On the other hand, for the opposite OWC, the peak power and efficiency were 10.4 kW and 12.38% respectively for the mean sea state. For the novel double OWC, the flow in the front OWC has more energy compared to the flow in the rear OWC for both advancing flow and retreating flow, resulting in a combined peak power of 19.5 kW at the mean sea state. This represented an increase of 3.45% in the power production. © 2025 Elsevier B.V., All rights reserved.","Computational Fluid Dynamics; Novel Double Owc; Numerical Wave Tank; Oscillating Water Column; Savonius Rotor; Wave Energy; Greenhouse Gases; Liquefied Gases; Oscillating Flow; Rotors; Synthesis Gas; Water Wave Effects; Water Waves; Computational Fluid; Fluid-dynamics; Novel Double Oscillating Water Column; Numerical Wave Tank; Oscillating Water Column; Oscillating Water Column Devices; Savonius Rotor; Wave Energy; Wave Tank; Wave Energy Conversion","Greenhouse gases; Liquefied gases; Oscillating flow; Rotors; Synthesis gas; Water wave effects; Water waves; Computational fluid; Fluid-dynamics; Novel double oscillating water column; Numerical wave tank; Oscillating water column; Oscillating water column devices; Savonius rotor; Wave energy; Wave tank; Wave energy conversion","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85212218719"
"M.H., Abdel-Razak, Mahmoud H.; M., Emam, Mohamed; S., Mori, Shinsuke; H.A., Hassan, Hamdy A.","Abdel-Razak, Mahmoud H. (57208769301); Emam, Mohamed (57192233896); Mori, Shinsuke (35280013000); Hassan, Hamdy A. (57194234156)","57208769301; 57192233896; 35280013000; 57194234156","Performance of an innovative configuration of three hybrid Darrieus-Savonius vertical-axis wind turbines incorporated with building water storage tanks","2025","Physics of Fluids","37","8","082116","","","0","0","10.1063/5.0280267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012958506&doi=10.1063%2F5.0280267&partnerID=40&md5=e9630d007da14a6583bcff9f9285ae8b","This paper investigates the difficulties of utilizing wind energy in urban environments, focusing on noise pollution and the scarcity of space for turbine installation. It presents an innovative approach by integrating vertical-axis wind turbines (VAWTs) with rooftop water storage tanks, using them as structural support. The study aims to enhance the energy output from a cluster of three hybrid Darrieus-Savonius VAWTs by optimizing five key factors: turbine spacing (S<inf>12</inf> and S<inf>13</inf>), configuration angles (ϕ<inf>12</inf> and ϕ<inf>13</inf>), and rotation direction (RD). A three-dimensional, unsteady, and incompressible flow model is developed, which is then numerically solved and validated against previous experimental data. The impact of these variables is assessed using a Taguchi orthogonal array L16 (45). The findings indicate that RD has the greatest influence on total performance, while the distance between the first and second rotors (S<inf>12</inf>) has the least effect. The optimized configuration results in a 26.06% boost in the cluster power coefficient at a shifted tip speed ratio (TSR) of 2.86 compared to the average power coefficient of the isolated rotor (Cpavg of 0.2475) at its rated TSR of 2.64, providing an effective solution for generating electricity in urban areas with restricted space. This strategy underscores the potential to efficiently use existing urban infrastructure, such as water storage tanks, to promote the adoption of renewable energy systems. © 2025 Elsevier B.V., All rights reserved.","Tanks (containers); Urban Planning; Vertical Axis Wind Turbine; Wind Power; Darrieus; Energy; Performance; Power Coefficients; Rotation Directions; Tip Speed Ratio; Turbine Installation; Urban Environments; Vertical Axes Wind Turbines; Water Storage Tanks; Digital Storage","Tanks (containers); Urban planning; Vertical axis wind turbine; Wind power; Darrieus; Energy; Performance; Power coefficients; Rotation directions; Tip speed ratio; Turbine installation; Urban environments; Vertical axes wind turbines; Water storage tanks; Digital storage","Article","Final","","Scopus","2-s2.0-105012958506"
"S., Shahriare, Shihab; M.R., Rony, Mrinmoy Roy; P., Das, Prasanjit","Shahriare, Shihab (59359785600); Rony, Mrinmoy Roy (59124336000); Das, Prasanjit (56883637700)","59359785600; 59124336000; 56883637700","Enhanced Aerodynamic Performance of Savonius Wind Turbines Through Blade Design Modifications: A CFD Study","2025","Wind Energy","28","8","e70042","","","0","0","10.1002/we.70042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008809150&doi=10.1002%2Fwe.70042&partnerID=40&md5=9edfc66fd5e2709dde5f216ba68ade4f","The conventional Savonius wind turbine's power coefficient is comparatively low, which limits its efficiency. Because the power coefficient depends significantly on the blade design, this study investigates the potential of improving the turbine performance by modifying the rotor blade designs. Two modified models are proposed, which are investigated numerically using CFD methods in ANSYS Fluent. Improving the efficiency of Savonius turbines could offer substantial benefits for energy generation, given the significance of wind energy in pursuing renewable energy solutions. The shear stress transport (SST) k-omega model, which allows a detailed analysis of the turbine's aerodynamic performance, is utilized here under transient conditions. At different tip speed ratios (TSRs), the torque coefficient and power coefficients are calculated. Additionally, the flow structure around the rotor is evaluated. The study demonstrates the impact of rotor blade design on power and torque coefficients, revealing that at a TSR of 1, the modified models demonstrated better performance than the base conventional model, with increases of power coefficient by 9.37% and 12.5%. These results suggest that better blade designs have the potential to greatly improve Savonius wind turbine performance and increase their efficiency for real-world applications. © 2025 Elsevier B.V., All rights reserved.","Cfd; Power Coefficient; Savonius Vawt; Torque Coefficient; Tsr; Aerodynamics; Energy Efficiency; Shear Flow; Turbine Components; Wind Power; Wind Turbines; Aero-dynamic Performance; Blade Design; Energy; Power Coefficients; Rotor Blades Designs; Savonii Vawt; Savonius Wind Turbine; Tip Speed Ratio; Torque Coefficient; Turbine Performance; Turbomachine Blades; Aerodynamics; Alternative Energy; Computational Fluid Dynamics; Design Method; Flow Structure; Performance Assessment; Shear Stress; Torque; Wind Power; Wind Turbine","Aerodynamics; Energy efficiency; Shear flow; Turbine components; Wind power; Wind turbines; Aero-dynamic performance; Blade design; Energy; Power coefficients; Rotor blades designs; Savonii VAWT; Savonius wind turbine; Tip speed ratio; Torque coefficient; Turbine performance; Turbomachine blades; aerodynamics; alternative energy; computational fluid dynamics; design method; flow structure; performance assessment; shear stress; torque; wind power; wind turbine","Article","Final","","Scopus","2-s2.0-105008809150"
"R., Raji, Renya; N., Alom, Nur","Raji, Renya (59941066800); Alom, Nur (57192070965)","59941066800; 57192070965","A comprehensive review on hybrid vertical-axis wind turbine: numerical, experimental and AI investigations","2025","Journal of the Brazilian Society of Mechanical Sciences and Engineering","47","8","385","","","0","0","10.1007/s40430-025-05691-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007913951&doi=10.1007%2Fs40430-025-05691-x&partnerID=40&md5=c8893bee2a8a1f24a3ef92f09de38aad","The installation and maintenance of vertical-axis wind turbines has significantly increased in the past few years. Since, centuries ago, it has been a desirable objective for all machines to achieve high energy efficiency. When compared to the performance of separate Savonius and Darrieus rotors, the hybrid Darrieus–Savonius wind turbine technology offers substantial potential for independent power production. This paper investigated the present state and technological breakthroughs of vertical-axis hybrid turbines for urban and rural use. Also, this manuscript discussed the developments, current research trends, applications, and designs of hybrid wind turbine (HWT) technology. This review analysis also discussed the applications of AI on wind turbine design and parameters optimizations in a systematic manner. Overall, this manuscript aims to gather all the research findings related to these HWT and tries to highlight their features together with future recommendations. © 2025 Elsevier B.V., All rights reserved.","Artificial Intelligence; Experimental Study; Hybrid Wind Turbine; Numerical Study; Review Study; Installation; Experimental Study; High Energy Efficiency; Hybrid Wind; Hybrid Wind Turbine; Numerical Experimental; Numerical Study; Performance; Review Study; Vertical Axes Wind Turbines; Wind Turbine Technology; Vertical Axis Wind Turbine","Installation; Experimental study; High energy efficiency; Hybrid wind; Hybrid wind turbine; Numerical experimental; Numerical study; Performance; Review study; Vertical axes wind turbines; Wind turbine technology; Vertical axis wind turbine","Review","Final","","Scopus","2-s2.0-105007913951"
"S.S., Tomar, Shivam Singh; A., Dewan, Anupam","Tomar, Shivam Singh (58109370600); Dewan, Anupam (7006876749)","58109370600; 7006876749","Understanding savonius turbine wake for 2-D and 3-D simulations: proper orthogonal decomposition of velocity components","2025","Sustainable Energy Technologies and Assessments","80","","104399","","","0","0","10.1016/j.seta.2025.104399","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007815357&doi=10.1016%2Fj.seta.2025.104399&partnerID=40&md5=3e075f7e3ae6527bcc7dcff42e11bfa5","Savonius turbines, known for their low cost and ease of maintenance, are widely used as small-scale wind and hydrokinetic turbines. However, significant discrepancies exist between two-dimensional (2-D) and three-dimensional (3-D) computational fluid dynamics (CFD) simulations, particularly in predicting wake dynamics. This study investigates wake characteristics across varying tip speed ratios (TSRs) using proper orthogonal decomposition (POD) of velocity components from 3-D simulations. POD analysis reveals that for TSR ≤ 1.0, vortex shedding from blade tips dominates, whereas for TSR > 1.0, rotational motion becomes more prominent, followed by vortex shedding. The vertical velocity component shows dominant POD modes at the rotational frequency and its harmonics, while the streamwise and lateral components are primarily influenced by the vortex shedding frequencies. These dynamics are absent in 2-D simulations due to the lack of vortex stretching in the third direction, leading to fundamentally different modal structures. Additionally, results show vertical transport is critical to wake recovery, significantly outweighing lateral transport up to two rotor diameters downstream—an effect not captured in 2-D simulations. Since accurate wake modelling is essential for predicting the performance of Savonius turbine arrays, especially in streamwise configurations, the limitations of 2-D simulations pose a challenge. This study provides physical insights into the origins of those limitations and highlights the necessity of 3-D simulations for reliable prediction of array power coefficients. The findings also serve as a foundation for future development of reduced-order models for low-cost array simulations. © 2025 Elsevier B.V., All rights reserved.","Computational Fluid Dynamics; Lateral And Vertical Transport; Proper Orthogonal Decomposition; Savonius Wake; Tip Speed Ratio; Hydraulic Turbines; Turbine Components; Computational Fluid; Fluid-dynamics; Lateral Transport; Orthogonal Decomposition; Proper Orthogonal; Proper Orthogonal Decomposition; Savonii Wake; Savonius Turbine; Tip Speed Ratio; Vertical Transports; Vortex Flow; Computational Fluid Dynamics; Maintenance; Three-dimensional Modeling; Turbine; Vortex Shedding","Hydraulic turbines; Turbine components; Computational fluid; Fluid-dynamics; Lateral transport; Orthogonal decomposition; Proper Orthogonal; Proper orthogonal decomposition; Savonii wake; Savonius turbine; Tip speed ratio; Vertical transports; Vortex flow; computational fluid dynamics; maintenance; three-dimensional modeling; turbine; vortex shedding","Article","Final","","Scopus","2-s2.0-105007815357"
"M.F., Soetanto, Maria Fransisca; S., Syaiful, S.; Y., Astor, Yackob; I.M.W., Kastawan, I. Made Wiwit; S.S., Wibowo, Singgih Satrio; null","Soetanto, Maria Fransisca (57190941869); Syaiful, S. (56493005600); Astor, Yackob (57210573804); Kastawan, I. Made Wiwit (53264216400); Wibowo, Singgih Satrio (59410950700)","57190941869; 56493005600; 57210573804; 53264216400; 59410950700; 60022020000","Numerical study of optimization of Savonius slenderness ratio as a starter darrieus wind turbine at low wind speed","2025","AIP Conference Proceedings","3141","1","050012","","","0","0","10.1063/5.0261577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012123943&doi=10.1063%2F5.0261577&partnerID=40&md5=14fd365860f671465c8739cce3bbebc0","Wind turbines can be used as a clean energy alternative to address the shortage of electricity supply experienced by the Indonesian population, given that Indonesia has a coastline of more than 99,000 km and has a range of wind speeds of 6-8 m/s, according to Indonesia's wind data. For that, the suitable turbine is the type of vertical axis wind turbines, and the Darrieus rotor has the highest performance of all VAWTs. It's just that to be able to operate in these conditions, it is necessary to use the Savonius rotor as a starter. This research focused on the optimization of the savonius rotor as a darrieus starter rotor that was performed numerically using the Computational Fluid Dynamic (CFD) method to obtain optimal performance from two varieties of Savonius-darrieus wind turbine configurations, namely the Savonius diameter ratio to Darrieus 0.1875, or H/D = 1 and 0.375, or H/D = 0.5. Input wind speed = 8 m/s, which matches the average coastline onshore wind speed of most of the islands in Indonesia. The results of the study are presented in the form of curves of power coefficients, Cp, in the tip speed ratio function, compared with the Savonius and Darrieus results of previous studies and it is obtained that this wind turbine works on a TSR slightly greater than Savonius with Cpmax greater than Darrieus. © 2025 Elsevier B.V., All rights reserved.","","","Conference paper","Final","","Scopus","2-s2.0-105012123943"
