"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"B., Feng, Boyu; B., Liu, Bo; L., Song, Li; Y., Chen, Yongyan; X., Jiao, Xiaofeng; B., Wang, Baiqiang","Feng, Boyu (59522935800); Liu, Bo (55778102700); Song, Li (56594067500); Chen, Yongyan (25642570100); Jiao, Xiaofeng (57219162661); Wang, Baiqiang (59971123900)","59522935800; 55778102700; 56594067500; 25642570100; 57219162661; 59971123900","A novel edge crop method and enhanced YOLOv5 for efficient wind turbine blade damage detection","2025","Scientific Reports","15","1","22777","","","0","0","10.1038/s41598-025-04882-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009553204&doi=10.1038%2Fs41598-025-04882-9&partnerID=40&md5=8ed64a45cb387dd9e032f22a4ebe950d","Accurately and rapidly detecting damage to wind turbine blades is critical for ensuring the safe operation of wind turbines. Current deep learning-based detection methods predominantly employ the gathered blade images directly for damage detection. However, due to the slender geometry of wind turbine blades, non-blade background information accounts for a considerable proportion of the captured images with complex background features, affecting the detection of blade damage. To address this challenge, we propose a novel edge cropping method combined with an enhanced YOLOv5s network for detecting damage in wind turbine blades, termed Edge Crop and Enhanced YOLOv5 (EC–EY). The edge cropping method adaptively modifies the cropping stride by the edge features of both sides of the blade, thereby procuring image content that predominantly encompasses the blade region. This procedure effectively mitigates the interference from complex background features and augments the utilization of image pixels. Furthermore, the enhanced YOLOv5 network incorporates the global attention mechanism into the head section of the network and substitutes the original SPPF module with an attention-based intra-scale feature interaction module. The EC–EY aims to improve the detection accuracy for small and variable-shape damages in wind turbine blades. EC–EY achieved excellent performance on a dataset of wind turbine blade damage collected in western Inner Mongolia. Notably, the edge cropping method significantly improves the accuracy of wind turbine blade damage detection. © 2025 Elsevier B.V., All rights reserved.","Canny; Damage Detection; Edge Crop; Wind Turbine Blade; Yolov5; Article; Crop; Deep Learning; Diagnosis; Diagnostic Test Accuracy Study; Geometry; Inner Mongolia; Nonhuman; Wind","article; crop; deep learning; diagnosis; diagnostic test accuracy study; geometry; Inner Mongolia; nonhuman; wind","Article","Final","","Scopus","2-s2.0-105009553204"
"W., Wang, Wenze; J., Wang, Jianze; K., Dai, Kaoshan; Z., Ba, Zhenning; M., Wu, Mengtao; B., Zhou, Baofeng; R., Sharbati, Reza; A.A.E.I., El-Damatty, Ashraf A.E.I.","Wang, Wenze (57214599866); Wang, Jianze (56473688500); Dai, Kaoshan (55212137500); Ba, Zhenning (14040107400); Wu, Mengtao (57196023038); Zhou, Baofeng (36134041300); Sharbati, Reza (57203148214); El-Damatty, Ashraf A.E.I. (6701333614)","57214599866; 56473688500; 55212137500; 14040107400; 57196023038; 36134041300; 57203148214; 6701333614","Seismic fragility analysis of near-fault mountainous wind turbines considering source-path-site effects","2025","Renewable Energy","254","","123706","","","0","0","10.1016/j.renene.2025.123706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008203735&doi=10.1016%2Fj.renene.2025.123706&partnerID=40&md5=83a9b982741b793d9593eabc1d7750d2","With the increasing demand for renewable energy, the deployment of wind turbines (WTs) in mountainous areas has surged, raising concerns about the associated seismic risk. The seismic fragility of these turbines is governed by a combination of factors, including the characteristics of the seismic source, the propagation paths, and the site-specific conditions. However, there is limited understanding of how these coupled source-path-site effects impact WT fragility, creating a critical knowledge gap that impedes the development of reliable seismic design guidelines for wind farms in mountainous areas. To address this issue, a physics-based method for fragility assessment is proposed, combining scenario-specific ground motion simulations with a hybrid semi-analytical-numerical modeling approach. This methodology integrates three computational components: (i) the frequency-wavenumber (FK) technique to compute the semi-analytical Green's function for a semi-infinite crustal space, (ii) the spectral element method (SEM) for efficient wavefield simulations in heterogeneous terrains, and (iii) the finite element method (FEM) for detailed nonlinear modeling of WT structural responses. The FK-SEM-FEM framework enables end-to-end simulation of seismic wave propagation from fault rupture to the nonlinear structural response of the WTs. The study analyzes the effects of key parameters on the seismic performance of WTs in mountainous regions, and introduces, for the first time, a fragility model for WTs considering diverse mountain geometries. The results indicate that the seismic response of WTs on mountaintops can be amplified by 1.16–3.02 times compared to those at the base. The combined effect of fault rupture mode and local site effects leads to spatially variable damage patterns, making WTs on mountaintops more susceptible to failure. The findings reveal that current seismic design codes for WTs in mountainous areas are inadequate, highlighting the need for immediate updates to address these risks. © 2025 Elsevier B.V., All rights reserved.","End-to-end Simulation; Fragility Analysis; Mountainous Wind Turbines; Seismic Wave Propagation; Topographic Amplification Effect; Earthquake Effects; Faulting; Landforms; Nonlinear Analysis; Nonlinear Simulations; Numerical Models; Seismic Design; Seismic Response; Structural Analysis; Wave Propagation; Wind Power; Wind Turbines; Amplification Effects; End-to-end Simulation; Fragility Analysis; Mountainous Area; Mountainous Wind Turbine; Seismic Wave Propagation; Semi-analytical; Site Effects; Topographic Amplification; Topographic Amplification Effect; Numerical Methods; Seismic Waves; Finite Element Method; Ground Motion; Seismic Design; Seismic Response; Seismic Wave; Simulation; Structural Response; Wave Propagation; Wind Turbine","Earthquake effects; Faulting; Landforms; Nonlinear analysis; Nonlinear simulations; Numerical models; Seismic design; Seismic response; Structural analysis; Wave propagation; Wind power; Wind turbines; Amplification effects; End-to-end simulation; Fragility analysis; Mountainous area; Mountainous wind turbine; Seismic wave propagation; Semi-analytical; Site effects; Topographic amplification; Topographic amplification effect; Numerical methods; Seismic waves; finite element method; ground motion; seismic design; seismic response; seismic wave; simulation; structural response; wave propagation; wind turbine","Article","Final","","Scopus","2-s2.0-105008203735"
"T., Jiang, Tao; Q., Yang, Qi; D., Li, Dongsheng; J., Huang, Jiezhong","Jiang, Tao (56564606100); Yang, Qi (60017492100); Li, Dongsheng (55704075100); Huang, Jiezhong (57193532828)","56564606100; 60017492100; 55704075100; 57193532828","A novel shape sensing method for geometric nonlinear deformation reconstruction of multilayered composite beams","2025","Composite Structures","371","","119516","","","0","0","10.1016/j.compstruct.2025.119516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011872694&doi=10.1016%2Fj.compstruct.2025.119516&partnerID=40&md5=2901eaf6ebd794967c5cf45cfdd8eac7","Many engineering structures, such as the wings and blades of wind turbines, are made of composite materials. These structures are more prone to geometric nonlinear deformations during working conditions, which can affect their performance and even lead to damage. Monitoring deformation is important for these structures. However, existing shape sensing approaches typically require additional kinematic variables to describe cross-sectional warping deformations and are limited to small deformations. Therefore, in this study, a novel shape sensing method for reconstructing the geometric nonlinear deformations of multilayer composite beams is developed. The proposed approach focuses on utilizing rotation angles as key variables to accurately represent the nonlinear deformations of a beam under various loading conditions. The method involves effectively calculating the rotation angle of composite beams by establishing a least squares functional that relates the theoretical curvature to the measured curvature. Using geometric relationships, the deformed shape can be predicted. Numerical analyses demonstrate that the reconstruction method has high accuracy and stability for various loading scenarios and composite materials. The advantages of the method include its simplicity and independence from prior knowledge of material properties and external load information, which highlights its strong potential for practical engineering applications. © 2025 Elsevier B.V., All rights reserved.","Composite Beams; Deformation Monitoring; Inverse Finite Element Method; Large Deformation; Shape Sensing; Composite Materials; Geometry; Inverse Problems; Least Squares Approximations; Composite Beam; Composites Material; Deformation Monitoring; Geometric Non-linear; Inverse Finite Element Methods; Larger Deformations; Multilayered Composites; Nonlinear Deformations; Rotation Angles; Shape Sensing; Composite Beams And Girders","Composite materials; Geometry; Inverse problems; Least squares approximations; Composite beam; Composites material; Deformation monitoring; Geometric non-linear; Inverse finite element methods; Larger deformations; Multilayered composites; Nonlinear deformations; Rotation angles; Shape sensing; Composite beams and girders","Article","Final","","Scopus","2-s2.0-105011872694"
"J., Qi, Junhui; Y., Kong, Yun; Y., Lv, Yufan; C., Lin, Cuiying; Q., Han, Qinkai; X., Zhang, Xiantao; M., Rao, Meng; M., Dong, Mingming; M.J., Zuo, Ming Jian; F., Chu, Fulei","Qi, Junhui (59666949400); Kong, Yun (57192874910); Lv, Yufan (59469037200); Lin, Cuiying (57220957659); Han, Qinkai (12645657100); Zhang, Xiantao (57211553617); Rao, Meng (57199932487); Dong, Mingming (56252742400); Zuo, Ming Jian (7007129577); Chu, Fulei (7201881088)","59666949400; 57192874910; 59469037200; 57220957659; 12645657100; 57211553617; 57199932487; 56252742400; 7007129577; 7201881088","Order spectrum-assisted sparse learning classification approach for wind turbine drivetrain fault diagnostics under variable operating conditions","2025","Renewable Energy","253","","123659","","","0","1","10.1016/j.renene.2025.123659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007467037&doi=10.1016%2Fj.renene.2025.123659&partnerID=40&md5=712bd215b6a88749ae9376fc50dd6e72","As the crucial equipment for renewable energy power generation, wind turbines always work under variable operating conditions, making it difficult to identify potential failures promptly. Drivetrain system is the guarantee for reliable and safe operations of wind turbines, but drivetrain fault diagnostics under variable operating conditions remains a challenging problem for diagnostics and maintenance of wind turbines. This paper proposes a novel order spectrum-assisted sparse learning classification (OS-SLC) approach for wind turbine drivetrain fault diagnostics under variable operating conditions. First, order tracking is incorporated into signal feature pre-extraction for order spectrum dictionary design initialization. Then, dictionary learning is developed to excavate latent features within order spectra, facilitating effective sparse representations of various health status. Subsequently, the order spectral sparse representation classification strategy based on minimum sparse approximation error is developed, which enables robust fault diagnosis without any discriminative classifier models. Experiment results from transfer diagnosis tasks of wind turbine drivetrain datasets under variable operating conditions verify that the proposed OS-SLC approach shows remarkable diagnostic accuracy comparable to mainstream domain adaptation methods, whilst demonstrating the diagnostic robustness against noises and hyper-parameters. By integrating order tracking with sparse representation learning, our proposed approach demonstrates the potential for fault diagnosis under nonstationary conditions. © 2025 Elsevier B.V., All rights reserved.","Fault Diagnostics; Nonstationary Operating Conditions; Order Tracking; Sparse Representation Learning; Wind Turbine Drivetrain; Faults Diagnostics; Nonstationary; Nonstationary Operating Condition; Operating Condition; Order Tracking; Sparse Representation; Sparse Representation Learning; Spectra's; Variable Operating Condition; Wind Turbine Drivetrain; Alternative Energy; Data Set; Electronic Equipment; Fault Geometry; Image Classification; Spectral Analysis; Wind Turbine","Faults diagnostics; Nonstationary; Nonstationary operating condition; Operating condition; Order tracking; Sparse representation; Sparse representation learning; Spectra's; Variable operating condition; Wind turbine drivetrain; alternative energy; data set; electronic equipment; fault geometry; image classification; spectral analysis; wind turbine","Article","Final","","Scopus","2-s2.0-105007467037"
"H., Hu, Hongjie; B., Lu, Bingxiao; D., Luo, Dahai; R., Rong, Rong; X., Yang, Xingyu","Hu, Hongjie (60013915200); Lu, Bingxiao (57190585744); Luo, Dahai (58376981000); Rong, Rong (58872353400); Yang, Xingyu (60014129900)","60013915200; 57190585744; 58376981000; 58872353400; 60014129900","CFD analysis of different leading edge tubercles on the aerodynamic performance of NREL phase VI wind turbine blades","2025","Energy","334","","137721","","","0","0","10.1016/j.energy.2025.137721","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011588529&doi=10.1016%2Fj.energy.2025.137721&partnerID=40&md5=f7e9d006573c45eca2f49e1d3b322ee8","This study investigates the aerodynamic effects of bio-inspired leading edge modifications on the NREL Phase VI horizontal-axis wind turbine using Reynolds-Averaged Navier–Stokes (RANS) simulations. Three leading edge geometries—sinusoidal wavy, segmented arc, and spherical tubercles—were evaluated under both full-span and partial-span configurations. A parametric analysis of the sinusoidal design was conducted using both constant and variable amplitudes within a dimensionless amplitude range (Ā = 0.015–0.045), with a fixed wavelength ratio (λ/c = 0.15). The variable amplitude configuration with Ā = 0.03 demonstrated the best performance, increasing torque by approximately 7 % at the rated wind speed (10 m/s) while maintaining stable output across the entire operating range. Both the segmented arc and variable sinusoidal designs consistently improved torque across all wind speeds. In contrast, the spherical tubercle design enhanced performance only at high wind speeds (V<inf>∞</inf> >15 m/s), with reduced efficiency at lower speeds. Implementation strategy significantly influenced performance, partial-span modifications preserved tip-flow stability and improved low-to-moderate-speed efficiency. In contrast, full-span designs improved high-speed performance by expanding low-pressure regions and suppressing flow separation, albeit with a reduction in efficiency at rated wind speeds. These findings offer practical guidance for aerodynamic optimization of wind turbine blades via biomimetic design. © 2025 Elsevier B.V., All rights reserved.","Leading Edge Tubercles; Numerical Simulation; Sinusoidal Wavy; Wind Turbine Blades; Aerodynamic Drag; Aerodynamics; Biomimetics; Horizontal Axis Wind Turbine; Turbomachine Blades; Wind; Aero-dynamic Performance; Aerodynamic Effect; Cfd Analysis; Cfd Analyzes; Leading Edge Tubercle; Performance; Rated Wind Speed; Sinusoidal Wavy; Variable Amplitudes; Wind Turbine Blades; Efficiency; Aerodynamics; Computational Fluid Dynamics; Navier-stokes Equations; Numerical Model; Optimization; Performance Assessment; Simulation; Wind Turbine","Aerodynamic drag; Aerodynamics; Biomimetics; Horizontal axis wind turbine; Turbomachine blades; Wind; Aero-dynamic performance; Aerodynamic effect; CFD analysis; CFD analyzes; Leading edge tubercle; Performance; Rated wind speed; Sinusoidal wavy; Variable amplitudes; Wind turbine blades; Efficiency; aerodynamics; computational fluid dynamics; Navier-Stokes equations; numerical model; optimization; performance assessment; simulation; wind turbine","Article","Final","","Scopus","2-s2.0-105011588529"
"A.E., Faisal, Ahmed Essa; C.W., Lim, Chin Wai; B.A.J., Al-Quraishi, Balasem Abdulameer Jabbar; J., Milano, Jassinnee; T., Hong, Tanchung","Faisal, Ahmed Essa (57218557304); Lim, Chin Wai (35722335000); Al-Quraishi, Balasem Abdulameer Jabbar (57210161264); Milano, Jassinnee (57052617200); Hong, Tanchung (58486311800)","57218557304; 35722335000; 57210161264; 57052617200; 58486311800","Optimizing the aerodynamic performance of archimedes spiral wind turbines: A parametric study on blade angle and length at constant radius","2025","Results in Engineering","27","","105785","","","0","1","10.1016/j.rineng.2025.105785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008506123&doi=10.1016%2Fj.rineng.2025.105785&partnerID=40&md5=55cef8b24c15beb47f3b0c8cb9953b32","This study explores the effect of variations in blade angle (α) and length at a fixed radius (r) on the aerodynamic performance of Archimedes Spiral Wind Turbines (ASWT), with the aim of enhancing their adaptability and efficiency in variable urban wind conditions. To identify the most effective blade design approach, two parametric methodologies were evaluated within the same dimensional range to maximize the power coefficient (C<inf>P</inf>), where (i) an unconstrained parametric study (FM), in which both blade angle and blade length (L) were allowed to vary simultaneously without geometric constraints, and (ii) a geometrically constrained parametric study (SM), in which blade length (L) was held constant while blade angle was adjusted. The results revealed that the SM approach outperformed the FM approach, with a 6.7 % increase in C<inf>P</inf> over the reference model (0.22), demonstrating higher aerodynamic efficiency, greater flexibility in blade angle and length adjustment, and deeper insights into the effects of geometric parameters. Based on this methodology, 36 ASWT blade models were designed using SolidWorks 2020 and analyzed using 3D simulations conducted in ANSYS CFX-2020 R2. The power coefficient (C<inf>P</inf>), relative to the tip speed ratio (TSR), was employed as the performance metric to assess the performance of each model. The analysis identified SM-23 as the most efficient model, with an L of 140 mm and a blade angle of800. At a wind speed of 10 m/s, this model achieved a maximum C<inf>P</inf> of 0.265, representing a 14.67 % improvement over the reference model. These findings highlight the potential of refined ASWT blade designs to enhance performance and support sustainable urban wind energy solutions. © 2025 Elsevier B.V., All rights reserved.","Archimedes Spiral Wind Turbine; Blade Angle; Blade Length; Urban Wind Turbine; Wind Energy; Aerodynamics; Geometry; Turbomachine Blades; Wind Effects; Wind Turbines; Aero-dynamic Performance; Archimede Spiral Wind Turbine; Blade Angle; Blade Length; Energy; Parametric Study; Power Coefficients; Reference Modeling; Spiral Winds; Urban Wind Turbine; Wind Power","Aerodynamics; Geometry; Turbomachine blades; Wind effects; Wind turbines; Aero-dynamic performance; Archimede spiral wind turbine; Blade angle; Blade length; Energy; Parametric study; Power coefficients; Reference modeling; Spiral winds; Urban wind turbine; Wind power","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105008506123"
"S., Hammer, Steffen; J., Twaddle, James; J.E., Fridh, Jens E.; G., Paniagua, Guillermo","Hammer, Steffen (57205896544); Twaddle, James (57955594200); Fridh, Jens E. (6505793746); Paniagua, Guillermo (7003869748)","57205896544; 57955594200; 6505793746; 7003869748","Acoustic Modes in an Open Box Cavity With Variable Depth Using Two Distinct Wind Tunnels","2025","Journal of Turbomachinery","147","8","081014","","","0","0","10.1115/1.4067459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217837218&doi=10.1115%2F1.4067459&partnerID=40&md5=40ef0d4e7f994d2a4807cba85cdad40a","Cavity resonances in ducts are a classical problem that has involved researchers from very different fields over time. More recently, the aerospace community became engaged again due to resonances found within the flow path of aero-engines, for example, in bleed cavities in the low-pressure compressor section. These resonances can lead to problems with the structural integrity of upstream components and thus warrant investigation. This study expands the previous dataset of an open box cavity with variable depth (D) and a rectangular opening with length (L), effectively testing L/D=[4,2,1/2]ratios. This parameter was indicated by Rossiter to be a strong predictive parameter in frequency generation. This article compares the results of the same cavity geometry within two wind tunnels of different dimensions and operational setups. The intention of the study is to isolate the Rossiter modes from any other geometric modes that are due to the wind tunnel's test section geometry. This isolation allows the modification of the model of Rossiter and the cavity depth model of East to improve the predictive capability over a larger range of Mach numbers and for deeper cavities. One wind tunnel has an open loop continuous flow operation where the Mach number is set by changing the outlet static pressure. The second wind tunnel has a blowdown operation where both Mach and Reynolds numbers can be set independently by pulling a downstream vacuum and setting the upstream total pressure. The experiments were performed for an operating range from low subsonic to transonic Mach numbers. The analysis focuses on modifying the constants in both the Rossiter model and the cavity depth model proposed by East along with investigating the phenomenon of mode switching for Rossiter modes. The analyses show a good repeatability of the dataset between the two wind tunnels displaying strong resonances at similar operating points. The new proposed constants for the Rossiter model when using an L/D=2 are γ=0.15 and κ=0.58. For the deeper cavity with L/D=0.5, the constants proposed are γ=0.15 and κ=0.9. The modification of the cavity depth model by East to better predict the mode above Mach 0.3 is proposed by adjusting the constant B=2.5 and leaving A=0.65. An independence from Reynolds number of the acoustic frequency generation is demonstrated within the operating range. A mode-switching behavior is identified with the shallowest and deepest cavity showing multiple mode transitions within the operating range and a near constant Rossiter mode 1 for L/D=2. © 2025 Elsevier B.V., All rights reserved.","Acoustics; Cavity; Cavity And Leaking Flows; Compressor; Experiment; Fan; Flow-induced Noise; Aerodynamics; Airships; Blowouts; Boundary Layers; Compressors; Computational Fluid Dynamics; Drop Breakup; Gas Turbines; Geographic Information Systems; Hydraulic Turbines; Mach Number; Orbits; Supersonic Aircraft; Transonic Flow; Cavity; Cavity And Leaking Flow; Cavity Depth; Deep Cavity; Depth Models; Flow Induced Noise; Frequency Generation; Operating Ranges; Rossiter Modes; Variable Depth; Reynolds Number","Aerodynamics; Airships; Blowouts; Boundary layers; Compressors; Computational fluid dynamics; Drop breakup; Gas turbines; Geographic information systems; Hydraulic turbines; Mach number; Orbits; Supersonic aircraft; Transonic flow; Cavity; Cavity and leaking flow; Cavity depth; Deep cavity; Depth models; Flow induced noise; Frequency generation; Operating ranges; Rossiter modes; Variable depth; Reynolds number","Article","Final","","Scopus","2-s2.0-85217837218"
"J.H., Chujutalli, John H.; J.O., de Almeida, Jeferson Osmar; M.M., Amiri, Mojtaba Maali; P.R.L., Lima, Paulo Roberto Lopes; M., Shadman, Milad; F., Junkai, Feng; R.D., Toledo Filho, R. D.; C.A., Levi, Carlos Antônio; S.F., Estefen, Segen Farid","Chujutalli, John H. (56418590500); de Almeida, Jeferson Osmar (58637265400); Amiri, Mojtaba Maali (56423308400); Lima, Paulo Roberto Lopes (35573855100); Shadman, Milad (55861473200); Junkai, Feng (59500928100); Toledo Filho, R. D. (57220045646); Levi, Carlos Antônio (7005575288); Estefen, Segen Farid (6701435918)","56418590500; 58637265400; 56423308400; 35573855100; 55861473200; 59500928100; 57220045646; 7005575288; 6701435918","How do ballast water, pitch angle, and tower material impact the optimization of a concrete semisubmersible floating offshore wind turbine?","2025","Journal of Ocean Engineering and Marine Energy","11","3","","581","603","0","0","10.1007/s40722-025-00388-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001954535&doi=10.1007%2Fs40722-025-00388-8&partnerID=40&md5=d20d6a904b77d432565ea1bdd76b73b2","Despite significant progress in floating offshore wind turbine (FOWT) technology, there are still several challenges, including the design of a cost-effective system. Considerable research has been dedicated to optimizing the floating platform geometry, layout, dimensions, and weight over the past few years, with some focusing on semisubmersible platforms, where steel is often used for both the platform and the tower. However, concrete FOWTs may be more cost-effective and reduce carbon footprint. Other areas requiring further research include the impact of the tower material, the maximum inclination angle, and confining ballast water within dimensionally variable compartments during optimization. The study aims to address these points through a hydrostatic optimization of a novel 15 MW concrete semisubmersible FOWT using a genetic algorithm method. The results show that the platform mass reduction for pitch angles larger than 6∘ is lower compared to that for angles smaller than 6∘ regardless of the tower material. Moreover, confining the ballast water inside dimensionally variable compartments leads to a lower semisubmersible platform weight. Finally, an initial comparison of raw material costs shows that a concrete platform with a steel tower offers the most cost-effective solution compared to a FOWT entirely made from steel or concrete. © 2025 Elsevier B.V., All rights reserved.","Concrete And Steel Tower; Concrete Semisubmersible Platform; Floating Offshore Wind Turbines; Genetic Algorithm; Hydrostatic Behavior; Optimization; Ballast (railroad Track); Linear Programming; Offshore Technology; Offshore Wind Turbines; Semisubmersibles; Structural Analysis; Structural Dynamics; Towers; Ballast Water; Concrete Semisubmersible Platform; Concrete Towers; Floating Offshore Wind Turbines; Hydrostatic Behavior; Material Impacts; Optimisations; Pitch Angle; Steel Towers; Wind Turbine Technology; Carbon Footprint","Ballast (railroad track); Linear programming; Offshore technology; Offshore wind turbines; Semisubmersibles; Structural analysis; Structural dynamics; Towers; Ballast water; Concrete semisubmersible platform; Concrete towers; Floating offshore wind turbines; Hydrostatic behavior; Material impacts; Optimisations; Pitch angle; Steel towers; Wind turbine technology; Carbon footprint","Article","Final","","Scopus","2-s2.0-105001954535"
"I., Lotsberg, Inge","Lotsberg, Inge (7003973499)","7003973499","Derivation of design S-N curves for butt welds in support structures for wind turbines","2025","Marine Structures","102","","103795","","","0","1","10.1016/j.marstruc.2025.103795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217735297&doi=10.1016%2Fj.marstruc.2025.103795&partnerID=40&md5=f84fe2592224d8589e1f69afaf6358df","The fatigue life of welded connections in structures is normally calculated from bi-linear S-N curves presented in design standards, one part S-N curve for the largest stress ranges that can be determined from constant amplitude testing to the left of the fatigue limit and one part S-N curve for stress ranges lower than the fatigue limit that can be determined from variable amplitude fatigue testing. The second curve is governing the calculated fatigue damage for typical long-term stress distributions for marine structures subjected to cyclic loads from wind and waves. In this study fracture mechanics analyses are performed in a relative way to reduce much of the uncertainties present in such analyses to estimate a second part of the S-N curve as function of fatigue crack growth parameters, threshold stress intensity factor, geometry functions and the long-term stress range distribution. The analysis methodology is calibrated to fatigue test data from constant amplitude loading. Based on the performed analyses it is shown that the second part of the design S-N curve for as-welded butt welds can be lifted to a higher level than presented in design standards of today. For structures supporting wind turbines where the Fatigue Limit State is governing design, this may result in reduction in steel weight as compared with existing design S-N curves in standards. This information may also be useful for lifetime extension of existing structures. © 2025 Elsevier B.V., All rights reserved.","As-welded; Butt Welds; Design S-n Curves; Fatigue; Fracture Mechanics; Monopiles; Butt Welding; Cyclic Loads; Fatigue Crack; Fatigue Crack Propagation; Fatigue Damage; Fatigue Testing; Ocean Structures; Pressure Vessels; Residual Stresses; Stress Concentration; Stress Intensity Factors; Structural Dynamics; Turbine Components; Welded Steel Structures; Welds; As-welded; Butt Weld; Design S-n Curve; Design Standard; Fatigue Limit; Fractures Mechanics; Monopiles; One Parts; S-n Curve; Stress Range; Wind Turbines; Cyclic Loading; Fatigue; Fracture Mechanics; Pile; Steel; Support Structure; Wave Action; Welding; Wind Stress; Wind Turbine","Butt welding; Cyclic loads; Fatigue crack; Fatigue crack propagation; Fatigue damage; Fatigue testing; Ocean structures; Pressure vessels; Residual stresses; Stress concentration; Stress intensity factors; Structural dynamics; Turbine components; Welded steel structures; Welds; As-welded; Butt weld; Design S-N curve; Design standard; Fatigue Limit; Fractures mechanics; Monopiles; One parts; S-N curve; Stress range; Wind turbines; cyclic loading; fatigue; fracture mechanics; pile; steel; support structure; wave action; welding; wind stress; wind turbine","Article","Final","","Scopus","2-s2.0-85217735297"
"A., Ojo, Adebayo; M., Collu, Maurizio; D.A., Coraddu, Dr Andrea","Ojo, Adebayo (57739787400); Collu, Maurizio (25924785400); Coraddu, Dr Andrea (55193514900)","57739787400; 25924785400; 55193514900","Geometric design parameterization and optimization of spar floating offshore wind turbine substructure","2025","Ocean Engineering","332","","121378","","","0","1","10.1016/j.oceaneng.2025.121378","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003916391&doi=10.1016%2Fj.oceaneng.2025.121378&partnerID=40&md5=4a6b41812799d4d501178835c3a12eb0","The push to attain commercialization of the floating offshore wind industry and subsequently achieving net-zero carbon emission by the year 2050 requires the utilization of cutting-edge design and analyses techniques. Geometric design parameterization and optimization is an effective technique that can be employed in modelling and optimizing a Floating Offshore Wind Turbine (FOWT) substructure. It is an essential framework with the capability of innovative concept generation of platform types in the FEED design phase. This study addresses the conceptual design shape generation, multidisciplinary design analysis and optimization (MDAO) of spar variants FOWT substructure developed from the standard NREL OC3 spar. The methodology involves the use of non-uniform rational basis spline (NURBS) parameterization technique to generate design variants with the flexibility of varying the control points to facilitate varying geometric shapes due to the local propagation property of the NURBS curve. Design variables passed through the NURBS curves control points generates a robust and rich design space and the potential flow hydrodynamic analysis tool in the DNV SESAM suite is used to estimate the hydrodynamic response. The design and analysis phases are explored and exploited for optimal design solution based on specified objectives and constraints with the use of state-of-the-art derivative-free optimizers. The optimal designs were evaluated for three sets of FOWT static pitch angle constraints (5, 7 and 10) degrees, a positive ballast constraint for stability and a constraint on nacelle acceleration root mean square (RMS) value below 30 % of the gravitational acceleration. The single objective function considered in the study is to ensure a minimum mass of the steel material utilized in the design, which invariably leads to a reduction in cost of the substructure material used in fabrication. Achieving this single objective results in an altered geometric shape variants from the baseline OC3 spar substructure for all the three cases evaluated. Verification of the nacelle acceleration response in time domain was further evaluated for the three optimal design cases selected and compared with recommended standards which is below 0.3 g. Although, the nacelle acceleration for the optimal variants is more conservative in time domain assessment than the frequency domain assessment, the values are still below the recommended 0.3 g from standards. Also, the masses of selected optimal design for each constraint were compared to the standard OC3 case study. An observation made in this study is that as the static pitch angle of the FOWT system gets larger, the lower the mass of the optimal substructure and inherently the capital expenditure of the substructure. Finally, the selected optimized platforms were analysed with a non-linear, time domain approach to confirm the level of accuracy of the key response parameters obtained with the frequency-based approach. © 2025 Elsevier B.V., All rights reserved.","Fowt; Mdao; Optimizers; Parameterization; Substructures; Bode Diagrams; Conceptual Design; Integrated Circuit Layout; Rational Functions; Shape Optimization; Time Domain Analysis; Basis Splines; Design Analysis; Design Parameterization; Floating Offshore Wind Turbines; Geometric Design; Multi-disciplinary Design Optimisation; Non-uniform; Optimal Design; Optimizers; Substructure; Parameterization; Design; Floating Offshore Structure; Geometry; Optimization; Parameterization; Wind Turbine","Bode diagrams; Conceptual design; Integrated circuit layout; Rational functions; Shape optimization; Time domain analysis; Basis splines; Design Analysis; Design parameterization; Floating offshore wind turbines; Geometric design; Multi-disciplinary design optimisation; Non-uniform; Optimal design; Optimizers; Substructure; Parameterization; design; floating offshore structure; geometry; optimization; parameterization; wind turbine","Article","Final","","Scopus","2-s2.0-105003916391"
