Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0208741832	293.211573	293.211573	293.211573	293.211573	0	0	0	0	0	0	3
2	3	0	0.0417483664	293.227464	293.219518	293.211573	293.227464	0.00794585392	0	0	0	0	0	3
3	3	0	0.0626225495	293.249383	293.229473	293.211573	293.249383	0.0179006621	0	0	0	0	0	3
4	3	0	0.0834967327	293.279479	293.241975	293.211573	293.279479	0.030402075	0	0	0	0	0	3
5	4	0	0.104370916	293.320215	293.257623	293.211573	293.320215	0.0460500947	0	0	0	0	0	3
6	4	0	0.125245099	293.374411	293.277087	293.211573	293.374411	0.065514761	0	0	0	0	0	3
7	5	0	0.146119282	293.44512	293.301092	293.211573	293.44512	0.0895193752	0	0	0	0	0	3
8	5	0	0.166993465	293.535359	293.330375	293.211573	293.535359	0.118802775	0	0	0	0	0	3
9	6	0	0.187867649	293.647596	293.365622	293.211573	293.647596	0.154049524	0	0	0	0	0	3
10	6	0	0.208741832	293.7834	293.4074	293.211573	293.7834	0.19582732	0	0	0	0	0	3
11	6	0	0.229616015	294.087275	293.469207	293.211573	294.087275	0.257634124	0	0	0	0	0	3
12	7	0	0.250490198	294.364098	293.543781	293.211573	294.364098	0.33220838	0	0	0	0	0	3
13	7	0	0.271364381	294.621004	293.626644	293.211573	294.621004	0.41507167	0	0	0	0	0	3
14	8	0	0.292238564	294.87136	293.715553	293.211573	294.87136	0.503979965	0	0	0	0	0	3
15	8	0	0.313112748	295.121704	293.809296	293.211573	295.121704	0.597723399	0	0	0	0	0	3
16	8	0	0.333986931	295.417879	293.909832	293.211573	295.417879	0.698259837	0	0	0	0	0	3
17	9	0	0.354861114	295.715751	294.016063	293.211573	295.715751	0.804490316	0	0	0	0	0	3
18	9	0	0.375735297	295.996286	294.126075	293.211573	295.996286	0.914502729	0	0	0	0	0	3
19	10	0	0.39660948	296.267667	294.238791	293.211573	296.267667	1.02721811	0	0	0	0	0	3
20	10	0	0.417483664	296.538784	294.35379	293.211573	296.538784	1.1422178	0	0	0	0	0	3
21	11	0	0.438357847	296.876224	294.473906	293.211573	296.876224	1.26233367	0	0	0	0	0	3
22	11	0	0.45923203	297.219026	294.598684	293.211573	297.219026	1.38711183	0	0	0	0	0	3
23	12	0	0.480106213	297.532904	294.726259	293.211573	297.532904	1.51468658	0	0	0	0	0	3
24	12	0	0.500980396	297.862446	294.856934	293.211573	297.862446	1.64536106	0	0	0	0	0	3
25	12	0	0.521854579	298.165351	295.063341	293.227464	298.165351	1.84382262	0	0	0	0	0	3
26	13	0	0.542728763	298.576263	295.286208	293.249383	298.576263	2.05673444	0	0	0	0	0	3
27	13	0	0.563602946	299.000044	295.525819	293.279479	299.000044	2.2838439	0	0	0	0	0	3
28	14	0	0.584477129	299.390378	295.780439	293.320215	299.390378	2.52281668	0	0	0	0	0	3
29	14	0	0.605351312	299.755219	296.048565	293.374411	299.755219	2.77147719	0	0	0	0	0	3
30	15	0	0.626225495	300.109401	296.329189	293.44512	300.109401	3.02809716	0	0	0	0	0	3
31	15	0	0.647099679	300.59652	296.627164	293.535359	300.59652	3.29678879	0	0	0	0	0	3
32	15	0	0.667973862	301.036664	296.939718	293.647596	301.036664	3.57409639	0	0	0	0	0	3
33	16	0	0.688848045	301.456088	297.265072	293.7834	301.456088	3.85767244	0	0	0	0	0	3
34	16	0	0.709722228	301.874745	297.602212	294.087275	301.874745	4.13300501	0	0	0	0	0	3
35	17	0	0.730596411	302.319114	297.945205	294.364098	302.319114	4.40142404	0	0	0	0	0	3
36	17	0	0.751470594	302.942968	298.302658	294.621004	302.942968	4.67601368	0	0	0	0	0	3
37	18	0	0.772344778	303.494329	298.67238	294.87136	303.494329	4.95682729	0	0	0	0	0	3
38	18	0	0.793218961	304.059533	299.05522	295.121704	304.059533	5.2459244	0	0	0	0	0	3
39	18	0	0.814093144	304.633688	299.451553	295.417879	304.633688	5.54172061	0	0	0	0	0	3
40	19	0	0.834967327	305.204311	299.859321	295.715751	305.204311	5.84325813	0	0	0	0	0	3
41	19	0	0.85584151	305.99658	300.287689	295.996286	305.99658	6.16161361	0	0	0	0	0	3
42	20	0	0.876715693	306.773674	300.736747	296.267667	306.773674	6.49795607	0	0	0	0	0	3
43	20	0	0.897589877	307.45805	301.203013	296.538784	307.45805	6.84922234	0	0	0	0	0	3
44	20	0	0.91846406	308.285762	301.69247	296.876224	308.285762	7.21856387	0	0	0	0	0	3
45	21	0	0.939338243	309.052786	302.199827	297.219026	309.052786	7.60114247	0	0	0	0	0	3
46	21	0	0.960212426	309.794081	302.723788	297.532904	309.794081	7.99752834	0	0	0	0	0	3
47	22	0	0.981086609	310.550749	303.266198	297.862446	310.550749	8.40926409	0	0	0	0	0	3
48	22	0	1.00196079	311.374343	303.829193	298.165351	311.374343	8.76585238	0.543748818	0	6.2	0	0	3
49	23	0	1.02283498	312.176935	304.413009	298.576263	312.176935	9.12680177	0.567826561	0	6.2	0	0	3
50	23	0	1.04370916	312.945216	305.011716	299.000044	312.945216	9.48589723	0.579350772	0	6.1	0	0	3
51	23	0	1.06458334	313.716572	305.624904	299.390378	313.716572	9.8444651	0.590604779	0	5.9	0	0	3
52	24	0	1.08545753	314.550362	306.25657	299.755219	314.550362	10.2080059	0.602179687	0	5.8	0	0	3
53	24	0	1.10633171	315.330252	306.90553	300.109401	315.330252	10.5763411	0.613478801	0	5.8	0	0	3
54	25	0	1.12720589	316.23226	307.577316	300.59652	316.23226	10.9501518	0.625168036	0	5.7	0	0	3
55	25	0	1.14808007	317.078468	308.264064	301.036664	317.078468	11.3243453	0.636757355	0	5.6	0	0	3
56	26	0	1.16895426	317.98921	308.97042	301.456088	317.98921	11.7053476	0.648443736	0	5.5	0	0	3
57	26	0	1.18982844	318.840257	309.69476	301.874745	318.840257	12.0925486	0.65991729	0	5.4	0	0	3
58	27	0	1.21070262	319.808688	310.442008	302.319114	319.808688	12.4968029	0.6710898	0	5.3	0	0	3
59	27	0	1.23157681	320.814868	311.212664	302.942968	320.814868	12.9100064	0.682220099	0	5.2	0	0	3
60	27	0	1.25245099	321.667393	311.992849	303.494329	321.667393	13.3204688	0.692984398	0	5.2	0	0	3
61	28	0	1.27332517	322.672071	312.791921	304.059533	322.672071	13.7367009	0.703833393	0	5.1	0	0	3
62	28	0	1.29419936	323.651002	313.608232	304.633688	323.651002	14.1566794	0.71469379	0	5	0	0	3
63	29	0	1.31507354	324.573436	314.439055	305.204311	324.573436	14.5797343	0.725358652	0	4.9	0	0	3
64	29	0	1.33594772	325.568689	315.287571	305.99658	325.568689	14.9998822	0.735997996	0	4.9	0	0	3
65	30	0	1.35682191	326.578567	316.145154	306.773674	326.578567	15.4084071	0.746672726	0	4.8	0	0	3
66	30	0	1.37769609	327.624984	317.013958	307.45805	327.624984	15.8109457	0.757453101	0	4.7	0	0	3
67	31	0	1.39857027	328.576062	317.893876	308.285762	328.576062	16.2014054	0.768172324	0	4.7	0	0	3
68	31	0	1.41944446	329.5484	318.779819	309.052786	329.5484	16.5799919	0.778771972	0	4.6	0	0	3
69	31	0	1.44031864	330.568169	319.676293	309.794081	330.568169	16.9525056	0.789329226	0	4.6	0	0	3
70	32	0	1.46119282	331.672341	320.587887	310.550749	331.672341	17.3216896	0.800004403	0	4.6	0	0	3
71	32	0	1.48206701	332.755618	321.51309	311.374343	332.755618	17.6838967	0.810734435	0	4.5	0	0	3
72	33	0	1.50294119	333.77549	322.446471	312.176935	333.77549	18.0334618	0.821466507	0	4.5	0	0	3
73	33	0	1.52381537	334.855462	323.39141	312.945216	334.855462	18.3796941	0.832142885	0	4.5	0	0	3
74	34	0	1.54468956	335.965108	324.350572	313.716572	335.965108	18.7256676	0.842789386	0	4.5	0	0	3
75	34	0	1.56556374	337.07282	325.323749	314.550362	337.07282	19.0671786	0.853444345	0	4.4	0	0	3
76	35	0	1.58643792	338.168586	326.307842	315.330252	338.168586	19.4023116	0.864121369	0	4.4	0	0	3
77	35	0	1.6073121	339.321086	327.30746	316.23226	339.321086	19.7301438	0.874887893	0	4.4	0	0	3
78	35	0	1.62818629	340.48797	328.318114	317.078468	340.48797	20.0540506	0.885616412	0	4.4	0	0	3
