Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0248956686	600002.917	600002.917	600002.917	600002.917	0	0	0	0	0	0	3
2	2	0	0.0497913373	600002.397	600002.657	600002.397	600002.917	0.259862702	0	0	0	0	0	3
3	3	0	0.0746870059	600001.473	600002.262	600001.473	600002.917	0.654506357	0	0	0	0	0	3
4	3	0	0.0995826746	600001.076	600001.966	600001.076	600002.917	0.950960623	0	0	0	0	0	3
5	3	0	0.124478343	600001.002	600001.773	600001.002	600002.917	1.14364426	0	0	0	0	0	3
6	3	0	0.149374012	600001.058	600001.654	600001.002	600002.917	1.26282272	0	0	0	0	0	3
7	4	0	0.17426968	600001.146	600001.581	600001.002	600002.917	1.3353752	0	0	0	0	0	3
8	5	0	0.199165349	600001.215	600001.535	600001.002	600002.917	1.38119982	0	0	0	0	0	3
9	5	0	0.224061018	600001.242	600001.503	600001.002	600002.917	1.41380654	0	0	0	0	0	3
10	6	0	0.248956686	600001.255	600001.478	600001.002	600002.917	1.43855733	0	0	0	0	0	3
11	6	0	0.273852355	600001.251	600001.457	600001.002	600002.917	1.45916779	0	0	0	0	0	3
12	6	0	0.298748024	600001.267	600001.442	600001.002	600002.917	1.47501832	0	0	0	0	0	3
13	7	0	0.323643692	600001.277	600001.429	600001.002	600002.917	1.48769537	0	0	0	0	0	3
14	7	0	0.348539361	600001.291	600001.419	600001.002	600002.917	1.49751564	0	0	0	0	0	3
15	8	0	0.37343503	600001.314	600001.412	600001.002	600002.917	1.50454385	0	0	0	0	0	3
16	9	0	0.398330698	600001.333	600001.407	600001.002	600002.917	1.50950725	0	0	0	0	0	3
17	9	0	0.423226367	600001.352	600001.404	600001.002	600002.917	1.5127601	0	0	0	0	0	3
18	9	0	0.448122036	600001.377	600001.402	600001.002	600002.917	1.5142712	0	0	0	0	0	3
19	9	0	0.473017704	600001.399	600001.402	600001.002	600002.917	1.51446893	0	0	0	0	0	3
20	10	0	0.497913373	600001.414	600001.403	600001.002	600002.917	1.51446893	0	0	0	0	0	3
21	10	0	0.522809041	600001.425	600001.404	600001.002	600002.917	1.51446893	0	0	0	0	0	3
22	11	0	0.54770471	600001.433	600001.333	600001.002	600002.397	1.32362222	0	0	0	0	0	3
23	11	0	0.572600379	600001.442	600001.288	600001.002	600001.473	0.470585167	0	0	0	0	0	3
24	11	0	0.597496047	600001.447	600001.286	600001.002	600001.447	0.444894735	0	0	0	0	0	3
25	12	0	0.622391716	600001.452	600001.304	600001.002	600001.452	0.449686067	0	0	0	0	0	3
26	13	0	0.647287385	600001.452	600001.326	600001.058	600001.452	0.367371654	0	0	0	0	0	3
27	13	0	0.672183053	600001.454	600001.345	600001.146	600001.454	0.294819176	0	0	0	0	0	3
28	14	0	0.697078722	600001.454	600001.359	600001.215	600001.454	0.239629474	0	0	0	0	0	3
29	14	0	0.721974391	600001.452	600001.371	600001.242	600001.454	0.212317643	0	0	0	0	0	3
30	14	0	0.746870059	600001.447	600001.38	600001.251	600001.454	0.191637039	0	0	0	0	0	3
31	15	0	0.771765728	600001.444	600001.389	600001.251	600001.454	0.171026582	0	0	0	0	0	3
32	16	0	0.796661396	600001.438	600001.398	600001.267	600001.454	0.155176057	0	0	0	0	0	3
