Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0225356081	16.0277673	16.0277673	16.0277673	16.0277673	0	0	0	0	0	0	3
2	3	0	0.0450712162	39.3507439	27.6892556	16.0277673	39.3507439	11.6614883	0	0	0	0	0	3
3	4	0	0.0676068243	69.4052986	41.5946033	16.0277673	69.4052986	25.566836	0	0	0	0	0	3
4	4	0	0.0901424324	111.063182	58.9617479	16.0277673	111.063182	42.9339806	0	0	0	0	0	3
5	4	0	0.112678041	160.208766	79.2111516	16.0277673	160.208766	63.1833843	0	0	0	0	0	3
6	5	0	0.135213649	215.329973	101.897622	16.0277673	215.329973	85.8698545	0	0	0	0	0	3
7	6	0	0.157749257	268.586633	125.710338	16.0277673	268.586633	109.68257	0	0	0	0	0	3
8	6	0	0.180284865	330.641151	151.326689	16.0277673	330.641151	135.298922	0	0	0	0	0	3
9	7	0	0.202820473	399.152991	178.862945	16.0277673	399.152991	162.835178	0	0	0	0	0	3
10	8	0	0.225356081	456.932429	206.669893	16.0277673	456.932429	190.642126	0	0	0	0	0	3
11	8	0	0.247891689	604.84233	242.867388	16.0277673	604.84233	226.83962	0	0	0	0	0	3
12	9	0	0.270427297	626.235132	274.8147	16.0277673	626.235132	258.786932	0	0	0	0	0	3
13	11	0	0.292962905	633.704216	302.421586	16.0277673	633.704216	286.393818	0	0	0	0	0	3
14	11	0	0.315498513	629.544498	325.787508	16.0277673	633.704216	309.759741	0	0	0	0	0	3
15	12	0	0.338034122	631.265524	346.152709	16.0277673	633.704216	330.124942	0	0	0	0	0	3
16	12	0	0.36056973	629.282434	363.848317	16.0277673	633.704216	347.82055	0	0	0	0	0	3
17	13	0	0.383105338	628.190829	379.397876	16.0277673	633.704216	363.370109	0	0	0	0	0	3
18	13	0	0.405640946	627.235884	393.166655	16.0277673	633.704216	377.138887	0	0	0	0	0	3
19	15	0	0.428176554	628.446784	405.549819	16.0277673	633.704216	389.522052	0	0	0	0	0	3
20	15	0	0.450712162	626.259041	416.58528	16.0277673	633.704216	400.557513	0	0	0	0	0	3
21	16	0	0.47324777	623.677571	426.446818	16.0277673	633.704216	410.419051	0	0	0	0	0	3
22	17	0	0.495783378	623.033451	435.382574	16.0277673	633.704216	419.354807	0	0	0	0	0	3
23	17	0	0.518318986	620.357184	443.424948	16.0277673	633.704216	427.397181	0	0	0	0	0	3
24	18	0	0.540854594	617.051996	469.556437	39.3507439	633.704216	441.867181	0	0	0	0	0	3
25	19	0	0.563390203	619.94018	494.799456	69.4052986	633.704216	453.204852	0	0	0	0	0	3
26	19	0	0.585925811	619.018062	518.695663	111.063182	633.704216	459.733915	0	0	0	0	0	3
27	20	0	0.608461419	616.576671	540.67451	160.208766	633.704216	461.463358	0	0	0	0	0	3
28	20	0	0.630997027	617.085989	560.538737	215.329973	633.704216	418.374243	0	0	0	0	0	3
29	20	0	0.653532635	615.498823	577.937383	268.586633	633.704216	365.117584	0	0	0	0	0	3
30	21	0	0.676068243	613.745515	592.944291	330.641151	633.704216	303.063066	0	0	0	0	0	3
31	22	0	0.698603851	614.012036	605.264764	399.152991	633.704216	234.551225	0	0	0	0	0	3
32	22	0	0.721139459	612.896092	614.557942	456.932429	633.704216	176.771787	0	0	0	0	0	3
33	23	0	0.743675067	610.862842	621.250569	604.84233	633.704216	28.8618862	0	0	0	0	0	3
34	24	0	0.766210676	611.653379	621.546701	610.862842	633.704216	22.8413739	0	0	0	0	0	3
35	24	0	0.788746284	609.512877	620.819647	609.512877	633.704216	24.1913395	0	0	0	0	0	3
36	25	0	0.811281892	605.79084	619.606022	605.79084	631.265524	25.4746847	0	0	0	0	0	3
37	26	0	0.8338175	605.290415	618.551496	605.290415	631.265524	25.9751093	0	0	0	0	0	3
38	26	0	0.856353108	602.683296	617.308791	602.683296	629.282434	26.5991379	0	0	0	0	0	3
39	27	0	0.878888716	600.039909	616.037377	600.039909	628.446784	28.4068744	0	0	0	0	0	3
40	27	0	0.901424324	601.935879	614.895857	600.039909	628.446784	28.4068744	0	0	0	0	0	3
41	28	0	0.923959932	597.108006	613.585949	597.108006	628.446784	31.3387777	0	0	0	0	0	3
42	28	0	0.94649554	594.942709	612.129251	594.942709	626.259041	31.3163322	0	0	0	0	0	3
43	29	0	0.969031148	593.963368	610.725091	593.963368	623.677571	29.714203	0	0	0	0	0	3
44	30	0	0.991566757	591.681461	609.333956	591.681461	623.033451	31.3519894	0	0	0	0	0	3
45	30	0	1.01410236	586.966474	607.765826	586.966474	620.357184	33.3907104	16.9289675	0	50.6	0	0	3
46	30	0	1.03663797	588.938421	606.399793	586.966474	619.94018	32.9737061	16.9289675	0	51.3	0	0	3
47	31	0	1.05917358	585.297602	605.019167	585.297602	619.94018	34.6425778	16.9289675	0	48.8	0	0	3
48	31	0	1.08170919	582.016362	603.370306	582.016362	619.018062	37.0016999	16.9289675	0	45.7	0	0	3
49	32	0	1.1042448	583.384363	601.821014	582.016362	617.085989	35.0696267	16.9289675	0	48.2	0	0	3
50	32	0	1.12678041	580.435093	600.249641	580.435093	617.085989	36.6508954	16.9289675	0	46.1	0	0	3
51	32	0	1.14931601	576.636508	598.490968	576.636508	615.498823	38.8623147	16.9289675	0	43.5	0	0	3
