Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0208741832	298.83042	298.83042	298.83042	298.83042	0	0	0	0	0	0	3
2	3	0	0.0417483664	304.051722	301.441071	298.83042	304.051722	2.61065116	0	0	0	0	0	3
3	3	0	0.0626225495	310.180391	304.354178	298.83042	310.180391	5.52375776	0	0	0	0	0	3
4	3	0	0.0834967327	317.897756	307.740072	298.83042	317.897756	8.90965225	0	0	0	0	0	3
5	4	0	0.104370916	327.508882	311.693834	298.83042	327.508882	12.8634143	0	0	0	0	0	3
6	4	0	0.125245099	339.194554	316.277287	298.83042	339.194554	17.4468676	0	0	0	0	0	3
7	5	0	0.146119282	352.955493	321.517031	298.83042	352.955493	22.6866112	0	0	0	0	0	3
8	5	0	0.166993465	368.711702	327.416365	298.83042	368.711702	28.585945	0	0	0	0	0	3
9	6	0	0.187867649	386.877091	334.023112	298.83042	386.877091	35.1926924	0	0	0	0	0	3
10	6	0	0.208741832	410.547433	341.675544	298.83042	410.547433	42.8451244	0	0	0	0	0	3
11	6	0	0.229616015	446.306225	351.187424	298.83042	446.306225	52.3570045	0	0	0	0	0	3
12	7	0	0.250490198	484.274808	362.27804	298.83042	484.274808	63.4476198	0	0	0	0	0	3
13	7	0	0.271364381	523.709444	374.69584	298.83042	523.709444	75.8654201	0	0	0	0	0	3
14	8	0	0.292238564	561.586622	388.045182	298.83042	561.586622	89.2147617	0	0	0	0	0	3
15	8	0	0.313112748	601.722501	402.290336	298.83042	601.722501	103.459916	0	0	0	0	0	3
16	8	0	0.333986931	644.333905	417.418059	298.83042	644.333905	118.587639	0	0	0	0	0	3
17	9	0	0.354861114	683.082409	433.045374	298.83042	683.082409	134.214954	0	0	0	0	0	3
18	9	0	0.375735297	718.077386	448.880486	298.83042	718.077386	150.050066	0	0	0	0	0	3
19	10	0	0.39660948	751.641034	464.815251	298.83042	751.641034	165.984831	0	0	0	0	0	3
20	10	0	0.417483664	785.648366	480.856907	298.83042	785.648366	182.026487	0	0	0	0	0	3
