Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0248956686	600006.341	600006.341	600006.341	600006.341	0	0	0	0	0	0	3
2	2	0	0.0497913373	600006.211	600006.276	600006.211	600006.341	0.0650276348	0	0	0	0	0	3
3	3	0	0.0746870059	600005.008	600005.853	600005.008	600006.341	0.487548654	0	0	0	0	0	3
4	3	0	0.0995826746	600004.1	600005.415	600004.1	600006.341	0.925789717	0	0	0	0	0	3
5	3	0	0.124478343	600003.444	600005.021	600003.444	600006.341	1.31991803	0	0	0	0	0	3
6	3	0	0.149374012	600003.194	600004.716	600003.194	600006.341	1.62428502	0	0	0	0	0	3
7	4	0	0.17426968	600003.101	600004.485	600003.101	600006.341	1.85508963	0	0	0	0	0	3
8	5	0	0.199165349	600003.102	600004.313	600003.101	600006.341	2.02801126	0	0	0	0	0	3
9	5	0	0.224061018	600003.134	600004.182	600003.101	600006.341	2.15898564	0	0	0	0	0	3
10	6	0	0.248956686	600003.184	600004.082	600003.101	600006.341	2.25874742	0	0	0	0	0	3
11	6	0	0.273852355	600003.21	600004.003	600003.101	600006.341	2.33799854	0	0	0	0	0	3
12	6	0	0.298748024	600003.25	600003.94	600003.101	600006.341	2.40067646	0	0	0	0	0	3
13	7	0	0.323643692	600003.273	600003.889	600003.101	600006.341	2.45200268	0	0	0	0	0	3
14	7	0	0.348539361	600003.292	600003.846	600003.101	600006.341	2.49461674	0	0	0	0	0	3
15	8	0	0.37343503	600003.311	600003.81	600003.101	600006.341	2.53026191	0	0	0	0	0	3
16	9	0	0.398330698	600003.326	600003.78	600003.101	600006.341	2.56051624	0	0	0	0	0	3
17	9	0	0.423226367	600003.339	600003.754	600003.101	600006.341	2.58646354	0	0	0	0	0	3
18	9	0	0.448122036	600003.357	600003.732	600003.101	600006.341	2.60851778	0	0	0	0	0	3
19	9	0	0.473017704	600003.371	600003.713	600003.101	600006.341	2.62752408	0	0	0	0	0	3
20	10	0	0.497913373	600003.379	600003.696	600003.101	600006.341	2.64423385	0	0	0	0	0	3
21	10	0	0.522809041	600003.384	600003.681	600003.101	600006.341	2.65912738	0	0	0	0	0	3
22	11	0	0.54770471	600003.384	600003.541	600003.101	600006.211	2.73486643	0	0	0	0	0	3
23	11	0	0.572600379	600003.385	600003.406	600003.101	600005.008	1.90732662	0	0	0	0	0	3
24	11	0	0.597496047	600003.382	600003.329	600003.101	600004.1	0.999404409	0	0	0	0	0	3
