Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0225356081	997.560115	997.560115	997.560115	997.560115	0	0	0	0	0	0	3
2	3	0	0.0450712162	997.555671	997.557893	997.555671	997.560115	0.00222204129	0	0	0	0	0	3
3	4	0	0.0676068243	997.546757	997.554181	997.546757	997.560115	0.00593412527	0	0	0	0	0	3
4	4	0	0.0901424324	997.531149	997.548423	997.531149	997.560115	0.0116921053	0	0	0	0	0	3
5	4	0	0.112678041	997.502014	997.539141	997.502014	997.560115	0.0209738486	0	0	0	0	0	3
6	5	0	0.135213649	997.406464	997.517029	997.406464	997.560115	0.0430867611	0	0	0	0	0	3
7	6	0	0.157749257	997.227362	997.475648	997.227362	997.560115	0.0844677521	0	0	0	0	0	3
8	6	0	0.180284865	996.963689	997.411653	996.963689	997.560115	0.148462559	0	0	0	0	0	3
9	7	0	0.202820473	996.607962	997.322354	996.607962	997.560115	0.237761518	0	0	0	0	0	3
10	8	0	0.225356081	996.175047	997.207623	996.175047	997.560115	0.352492169	0	0	0	0	0	3
11	8	0	0.247891689	995.129073	997.018664	995.129073	997.560115	0.541451294	0	0	0	0	0	3
12	9	0	0.270427297	994.332913	996.794851	994.332913	997.560115	0.765263869	0	0	0	0	0	3
13	11	0	0.292962905	993.781257	996.563036	993.781257	997.560115	0.997078861	0	0	0	0	0	3
14	11	0	0.315498513	993.379884	996.335668	993.379884	997.560115	1.2244469	0	0	0	0	0	3
15	12	0	0.338034122	993.060787	996.117343	993.060787	997.560115	1.44277233	0	0	0	0	0	3
16	12	0	0.36056973	992.662842	995.901437	992.662842	997.560115	1.65867866	0	0	0	0	0	3
17	13	0	0.383105338	992.310859	995.690226	992.310859	997.560115	1.86988908	0	0	0	0	0	3
18	13	0	0.405640946	991.972801	995.483703	991.972801	997.560115	2.0764127	0	0	0	0	0	3
19	15	0	0.428176554	991.65888	995.282396	991.65888	997.560115	2.27771916	0	0	0	0	0	3
20	15	0	0.450712162	991.177062	995.077129	991.177062	997.560115	2.48298585	0	0	0	0	0	3
21	16	0	0.47324777	990.466608	994.857581	990.466608	997.560115	2.70253451	0	0	0	0	0	3
22	17	0	0.495783378	989.728965	994.624462	989.728965	997.560115	2.93565338	0	0	0	0	0	3
23	17	0	0.518318986	989.086608	994.383686	989.086608	997.560115	3.17642964	0	0	0	0	0	3
24	18	0	0.540854594	988.394746	993.985191	988.394746	997.555671	3.57270193	0	0	0	0	0	3
25	19	0	0.563390203	987.68432	993.556002	987.68432	997.546757	3.99817901	0	0	0	0	0	3
26	19	0	0.585925811	986.864385	993.091551	986.864385	997.531149	4.45687201	0	0	0	0	0	3
27	20	0	0.608461419	986.16989	992.597583	986.16989	997.502014	4.94155804	0	0	0	0	0	3
