Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0208741832	-64455.5684	-64455.5684	-64455.5684	-64455.5684	0	0	0	0	0	0	3
2	3	0	0.0417483664	-183808.636	-124132.102	-183808.636	-64455.5684	59676.5338	0	0	0	0	0	3
3	3	0	0.0626225495	-257265.395	-168509.866	-257265.395	-64455.5684	104054.298	0	0	0	0	0	3
4	3	0	0.0834967327	-322739.916	-207067.379	-322739.916	-64455.5684	142611.81	0	0	0	0	0	3
5	4	0	0.104370916	-381017.797	-241857.462	-381017.797	-64455.5684	177401.894	0	0	0	0	0	3
6	4	0	0.125245099	-455770.254	-277509.594	-455770.254	-64455.5684	213054.026	0	0	0	0	0	3
7	5	0	0.146119282	-519557.787	-312087.908	-519557.787	-64455.5684	247632.339	0	0	0	0	0	3
8	5	0	0.166993465	-569835.74	-344306.387	-569835.74	-64455.5684	279850.818	0	0	0	0	0	3
9	6	0	0.187867649	-607485.956	-373548.561	-607485.956	-64455.5684	309092.993	0	0	0	0	0	3
10	6	0	0.208741832	-634036.992	-399597.404	-634036.992	-64455.5684	335141.836	0	0	0	0	0	3
11	6	0	0.229616015	-631110.807	-420644.077	-634036.992	-64455.5684	356188.509	0	0	0	0	0	3
12	7	0	0.250490198	-646516.06	-439466.742	-646516.06	-64455.5684	375011.174	0	0	0	0	0	3
13	7	0	0.271364381	-658558.661	-456319.967	-658558.661	-64455.5684	391864.398	0	0	0	0	0	3
14	8	0	0.292238564	-665572.597	-471266.583	-665572.597	-64455.5684	406811.015	0	0	0	0	0	3
15	8	0	0.313112748	-667725.14	-484363.82	-667725.14	-64455.5684	419908.252	0	0	0	0	0	3
16	8	0	0.333986931	-664862.309	-495644.976	-667725.14	-64455.5684	431189.408	0	0	0	0	0	3
17	9	0	0.354861114	-657021.739	-505137.727	-667725.14	-64455.5684	440682.158	0	0	0	0	0	3
18	9	0	0.375735297	-646884.398	-513012.542	-667725.14	-64455.5684	448556.973	0	0	0	0	0	3
19	10	0	0.39660948	-639361.916	-519662.509	-667725.14	-64455.5684	455206.94	0	0	0	0	0	3
20	10	0	0.417483664	-622677.369	-524813.252	-667725.14	-64455.5684	460357.683	0	0	0	0	0	3
21	11	0	0.438357847	-766183.315	-536307.064	-766183.315	-64455.5684	471851.496	0	0	0	0	0	3
22	11	0	0.45923203	-585205.979	-538529.742	-766183.315	-64455.5684	474074.174	0	0	0	0	0	3
23	12	0	0.480106213	-941479.271	-556049.287	-941479.271	-64455.5684	491593.719	0	0	0	0	0	3
