Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0208741832	292.945667	292.945667	292.945667	292.945667	0	0	0	0	0	0	3
2	3	0	0.0417483664	292.773879	292.859773	292.773879	292.945667	0.085893892	0	0	0	0	0	3
3	3	0	0.0626225495	292.919054	292.879533	292.773879	292.945667	0.085893892	0	0	0	0	0	3
4	3	0	0.0834967327	293.199994	292.959648	292.773879	293.199994	0.099875417	0	0	0	0	0	3
5	4	0	0.104370916	293.199986	293.007716	292.773879	293.199994	0.147943021	0	0	0	0	0	3
6	4	0	0.125245099	293.199966	293.039758	292.773879	293.199994	0.179984629	0	0	0	0	0	3
7	5	0	0.146119282	293.199919	293.062638	292.773879	293.199994	0.202864828	0	0	0	0	0	3
8	5	0	0.166993465	293.199831	293.079787	292.773879	293.199994	0.22001402	0	0	0	0	0	3
9	6	0	0.187867649	293.199688	293.093109	292.773879	293.199994	0.233336381	0	0	0	0	0	3
10	6	0	0.208741832	293.199571	293.103756	292.773879	293.199994	0.24398251	0	0	0	0	0	3
11	6	0	0.229616015	293.198592	293.112377	292.773879	293.199994	0.252603996	0	0	0	0	0	3
12	7	0	0.250490198	293.199355	293.119625	292.773879	293.199994	0.259852191	0	0	0	0	0	3
13	7	0	0.271364381	293.200217	293.125825	292.773879	293.200217	0.266051523	0	0	0	0	0	3
14	8	0	0.292238564	293.200731	293.131175	292.773879	293.200731	0.271401999	0	0	0	0	0	3
15	8	0	0.313112748	293.201817	293.135885	292.773879	293.201817	0.276111494	0	0	0	0	0	3
16	8	0	0.333986931	293.203224	293.140093	292.773879	293.203224	0.280320204	0	0	0	0	0	3
17	9	0	0.354861114	293.204835	293.143902	292.773879	293.204835	0.284128562	0	0	0	0	0	3
18	9	0	0.375735297	293.206934	293.147403	292.773879	293.206934	0.287630352	0	0	0	0	0	3
19	10	0	0.39660948	293.2092	293.150656	292.773879	293.2092	0.29088281	0	0	0	0	0	3
20	10	0	0.417483664	293.212182	293.153732	292.773879	293.212182	0.293959099	0	0	0	0	0	3
21	11	0	0.438357847	293.215658	293.156681	292.773879	293.215658	0.296907965	0	0	0	0	0	3
22	11	0	0.45923203	293.221114	293.15961	292.773879	293.221114	0.299836736	0	0	0	0	0	3
23	12	0	0.480106213	293.224628	293.162437	292.773879	293.224628	0.302663624	0	0	0	0	0	3
24	12	0	0.500980396	293.23085	293.165287	292.773879	293.23085	0.305514183	0	0	0	0	0	3
25	12	0	0.521854579	293.237093	293.17743	292.773879	293.237093	0.31765695	0	0	0	0	0	3
26	13	0	0.542728763	293.246246	293.197112	292.919054	293.246246	0.317578623	0	0	0	0	0	3
27	13	0	0.563602946	293.257937	293.211232	293.198592	293.257937	0.0593449063	0	0	0	0	0	3
28	14	0	0.584477129	293.270186	293.214157	293.198592	293.270186	0.071594462	0	0	0	0	0	3
