Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0248956686	2.45350128e-07	2.45350128e-07	2.45350128e-07	2.45350128e-07	0	0	0	0	0	0	3
2	2	0	0.0497913373	2.45350128e-07	2.45350128e-07	2.45350128e-07	2.45350128e-07	0	0	0	0	0	0	3
3	3	0	0.0746870059	2.45350128e-07	2.45350128e-07	2.45350128e-07	2.45350128e-07	0	0	0	0	0	0	3
4	3	0	0.0995826746	1.56648026	0.39162025	2.45350128e-07	1.56648026	0.391620004	0	0	0	0	0	3
5	3	0	0.124478343	1.56648026	0.626592252	2.45350128e-07	1.56648026	0.626592007	0	0	0	0	0	3
6	3	0	0.149374012	1.56648026	0.783240254	2.45350128e-07	1.56648026	0.783240009	0	0	0	0	0	3
7	4	0	0.17426968	4.73914206	1.34836908	2.45350128e-07	4.73914206	1.34836884	0	0	0	0	0	3
8	5	0	0.199165349	4.73914206	1.77221571	2.45350128e-07	4.73914206	1.77221546	0	0	0	0	0	3
9	5	0	0.224061018	4.73914206	2.10187419	2.45350128e-07	4.73914206	2.10187395	0	0	0	0	0	3
10	6	0	0.248956686	9.27697633	2.8193844	2.45350128e-07	9.27697633	2.81938416	0	0	0	0	0	3
11	6	0	0.273852355	9.27697633	3.40643822	2.45350128e-07	9.27697633	3.40643797	0	0	0	0	0	3
12	6	0	0.298748024	9.27697633	3.89564973	2.45350128e-07	9.27697633	3.89564948	0	0	0	0	0	3
13	7	0	0.323643692	14.3506848	4.6998832	2.45350128e-07	14.3506848	4.69988295	0	0	0	0	0	3
14	7	0	0.348539361	14.3506848	5.38922617	2.45350128e-07	14.3506848	5.38922593	0	0	0	0	0	3
15	8	0	0.37343503	14.3506848	5.98665675	2.45350128e-07	14.3506848	5.9866565	0	0	0	0	0	3
16	9	0	0.398330698	15.5125209	6.58202326	2.45350128e-07	15.5125209	6.58202301	0	0	0	0	0	3
17	9	0	0.423226367	15.5125209	7.10734665	2.45350128e-07	15.5125209	7.1073464	0	0	0	0	0	3
18	9	0	0.448122036	15.5125209	7.57430077	2.45350128e-07	15.5125209	7.57430052	0	0	0	0	0	3
19	9	0	0.473017704	17.483888	8.09585799	2.45350128e-07	17.483888	8.09585775	0	0	0	0	0	3
20	10	0	0.497913373	17.483888	8.5652595	2.45350128e-07	17.483888	8.56525925	0	0	0	0	0	3
21	10	0	0.522809041	17.483888	8.98995609	2.45350128e-07	17.483888	8.98995585	0	0	0	0	0	3
22	11	0	0.54770471	19.7626078	9.93103264	2.45350128e-07	19.7626078	9.9310324	0	0	0	0	0	3
23	11	0	0.572600379	19.7626078	10.8721092	2.45350128e-07	19.7626078	10.8721089	0	0	0	0	0	3
24	11	0	0.597496047	19.7626078	11.8131857	1.56648026	19.7626078	11.4215655	0	0	0	0	0	3
25	12	0	0.622391716	23.4255568	12.8540941	1.56648026	23.4255568	12.2275019	0	0	0	0	0	3
26	13	0	0.647287385	23.4255568	13.8950026	1.56648026	23.4255568	13.1117623	0	0	0	0	0	3
27	13	0	0.672183053	23.4255568	14.935911	4.73914206	23.4255568	13.5875419	0	0	0	0	0	3
28	14	0	0.697078722	26.5156516	15.9728876	4.73914206	26.5156516	14.2006719	0	0	0	0	0	3
29	14	0	0.721974391	26.5156516	17.0098642	4.73914206	26.5156516	14.9079901	0	0	0	0	0	3
30	14	0	0.746870059	26.5156516	18.0468409	9.27697633	26.5156516	15.2274565	0	0	0	0	0	3
31	15	0	0.771765728	29.5225731	19.0109169	9.27697633	29.5225731	15.6044787	0	0	0	0	0	3
32	16	0	0.796661396	29.5225731	19.974993	9.27697633	29.5225731	16.0793432	0	0	0	0	0	3
33	16	0	0.821557065	29.5225731	20.939069	14.3506848	29.5225731	15.1718882	0	0	0	0	0	3
34	17	0	0.846452734	32.6428938	21.8101266	14.3506848	32.6428938	16.4209004	0	0	0	0	0	3
35	17	0	0.871348402	32.6428938	22.6811841	14.3506848	32.6428938	16.6945274	0	0	0	0	0	3
36	17	0	0.896244071	32.6428938	23.5522417	15.5125209	32.6428938	16.9702184	0	0	0	0	0	3
37	18	0	0.92113974	36.5734212	24.5551417	15.5125209	36.5734212	17.4477951	0	0	0	0	0	3
38	18	0	0.946035408	36.5734212	25.5580417	15.5125209	36.5734212	17.983741	0	0	0	0	0	3
39	18	0	0.970931077	36.5734212	26.5609417	17.483888	36.5734212	18.4650838	0	0	0	0	0	3
40	19	0	0.995826746	41.2088544	27.6907021	17.483888	41.2088544	19.1254426	0	0	0	0	0	3
41	20	0	1.02072241	41.2088544	28.8204624	17.483888	41.2088544	19.8305063	2.62434467	0	0	0	0	3
42	20	0	1.04561808	41.2088544	29.9502227	19.7626078	41.2088544	20.01919	2.62434467	0	0	0	0	3
43	20	0	1.07051375	46.2363908	31.210879	19.7626078	46.2363908	20.3387698	2.78443148	0	0	0	0	3
