Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0248956686	16.5572985	16.5572985	16.5572985	16.5572985	0	0	0	0	0	0	3
2	2	0	0.0497913373	41.2305485	28.8939235	16.5572985	41.2305485	12.336625	0	0	0	0	0	3
3	3	0	0.0746870059	71.1808818	42.9895763	16.5572985	71.1808818	26.4322778	0	0	0	0	0	3
4	3	0	0.0995826746	113.701108	60.6674593	16.5572985	113.701108	44.1101608	0	0	0	0	0	3
5	3	0	0.124478343	163.381702	81.2103078	16.5572985	163.381702	64.6530093	0	0	0	0	0	3
6	3	0	0.149374012	219.590361	104.27365	16.5572985	219.590361	87.7163515	0	0	0	0	0	3
7	4	0	0.17426968	274.517011	128.59413	16.5572985	274.517011	112.036832	0	0	0	0	0	3
8	5	0	0.199165349	337.6638	154.727839	16.5572985	337.6638	138.17054	0	0	0	0	0	3
9	5	0	0.224061018	404.57347	182.488465	16.5572985	404.57347	165.931166	0	0	0	0	0	3
10	6	0	0.248956686	462.44038	210.483656	16.5572985	462.44038	193.926358	0	0	0	0	0	3
11	6	0	0.273852355	604.237945	246.2795	16.5572985	604.237945	229.722202	0	0	0	0	0	3
12	6	0	0.298748024	626.333706	277.950684	16.5572985	626.333706	261.393386	0	0	0	0	0	3
13	7	0	0.323643692	633.22175	305.279228	16.5572985	633.22175	288.721929	0	0	0	0	0	3
14	7	0	0.348539361	629.470193	328.435725	16.5572985	633.22175	311.878427	0	0	0	0	0	3
15	8	0	0.37343503	630.716287	348.587763	16.5572985	633.22175	332.030464	0	0	0	0	0	3
16	9	0	0.398330698	628.8165	366.102059	16.5572985	633.22175	349.54476	0	0	0	0	0	3
17	9	0	0.423226367	628.345883	381.528166	16.5572985	633.22175	364.970868	0	0	0	0	0	3
18	9	0	0.448122036	627.027026	395.166992	16.5572985	633.22175	378.609693	0	0	0	0	0	3
19	9	0	0.473017704	628.086907	407.425935	16.5572985	633.22175	390.868636	0	0	0	0	0	3
20	10	0	0.497913373	626.062727	418.357774	16.5572985	633.22175	401.800476	0	0	0	0	0	3
21	10	0	0.522809041	623.525872	428.127684	16.5572985	633.22175	411.570385	0	0	0	0	0	3
22	11	0	0.54770471	622.590572	456.986411	41.2305485	633.22175	428.092487	0	0	0	0	0	3
23	11	0	0.572600379	619.766696	484.535751	71.1808818	633.22175	441.546175	0	0	0	0	0	3
24	11	0	0.597496047	616.616483	510.508875	113.701108	633.22175	449.841416	0	0	0	0	0	3
25	12	0	0.622391716	619.655807	534.601956	163.381702	633.22175	453.391648	0	0	0	0	0	3
26	13	0	0.647287385	617.789509	556.240423	219.590361	633.22175	413.631389	0	0	0	0	0	3
27	13	0	0.672183053	616.414034	575.136788	274.517011	633.22175	358.704738	0	0	0	0	0	3
28	14	0	0.697078722	616.53541	591.423379	337.6638	633.22175	295.55795	0	0	0	0	0	3
29	14	0	0.721974391	615.899596	604.672702	404.57347	633.22175	228.64828	0	0	0	0	0	3
30	14	0	0.746870059	612.693911	614.5832	462.44038	633.22175	170.78137	0	0	0	0	0	3
