Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0248956686
2	2	0	0.0497913373
3	3	0	0.0746870059
4	3	0	0.0995826746
5	3	0	0.124478343
6	3	0	0.149374012
7	4	0	0.17426968
8	5	0	0.199165349
9	5	0	0.224061018
10	6	0	0.248956686
11	6	0	0.273852355
12	6	0	0.298748024
13	7	0	0.323643692
14	7	0	0.348539361
15	8	0	0.37343503
16	9	0	0.398330698
17	9	0	0.423226367
18	9	0	0.448122036
19	9	0	0.473017704
20	10	0	0.497913373
21	10	0	0.522809041
22	11	0	0.54770471
23	11	0	0.572600379
24	11	0	0.597496047
25	12	0	0.622391716
26	13	0	0.647287385
27	13	0	0.672183053
28	14	0	0.697078722
29	14	0	0.721974391
30	14	0	0.746870059
31	15	0	0.771765728
32	16	0	0.796661396
33	16	0	0.821557065
34	17	0	0.846452734
35	17	0	0.871348402
36	17	0	0.896244071
37	18	0	0.92113974
38	18	0	0.946035408
39	18	0	0.970931077
40	19	0	0.995826746
41	20	0	1.02072241
42	20	0	1.04561808
43	20	0	1.07051375
44	20	0	1.09540942
45	21	0	1.12030509
46	21	0	1.14520076
47	21	0	1.17009643
48	22	0	1.19499209
49	22	0	1.21988776
50	22	0	1.24478343
51	23	0	1.2696791
52	23	0	1.29457477
53	23	0	1.31947044
54	24	0	1.34436611
55	24	0	1.36926178
56	24	0	1.39415744
57	25	0	1.41905311
58	25	0	1.44394878
59	25	0	1.46884445
60	25	0	1.49374012
61	26	0	1.51863579
62	26	0	1.54353146
63	26	0	1.56842712
64	27	0	1.59332279
65	27	0	1.61821846
66	27	0	1.64311413
67	27	0	1.6680098
68	28	0	1.69290547
69	28	0	1.71780114
70	28	0	1.7426968
71	29	0	1.76759247
72	29	0	1.79248814
73	29	0	1.81738381
74	29	0	1.84227948
75	30	0	1.86717515
76	30	0	1.89207082
77	30	0	1.91696649
78	31	0	1.94186215
79	31	0	1.96675782
80	31	0	1.99165349
81	31	0	2.01654916
82	32	0	2.04144483
83	32	0	2.0663405
84	32	0	2.09123617
85	33	0	2.11613183
86	33	0	2.1410275
87	33	0	2.16592317
88	33	0	2.19081884
89	34	0	2.21571451
90	34	0	2.24061018
91	34	0	2.26550585
92	34	0	2.29040151
93	35	0	2.31529718
94	35	0	2.34019285
95	35	0	2.36508852
96	36	0	2.38998419
97	36	0	2.41487986
98	36	0	2.43977553
99	36	0	2.4646712
100	37	0	2.48956686
101	37	0	2.51446253
102	37	0	2.5393582
103	38	0	2.56425387
104	38	0	2.58914954
105	38	0	2.61404521
106	39	0	2.63894088
107	39	0	2.66383654
108	39	0	2.68873221
109	39	0	2.71362788
110	40	0	2.73852355
111	40	0	2.76341922
112	40	0	2.78831489
113	41	0	2.81321056
114	41	0	2.83810622
115	41	0	2.86300189
116	41	0	2.88789756
117	42	0	2.91279323
118	42	0	2.9376889
119	42	0	2.96258457
120	43	0	2.98748024
121	43	0	3.01237591
122	43	0	3.03727157
123	43	0	3.06216724
124	44	0	3.08706291
125	44	0	3.11195858
126	44	0	3.13685425
127	45	0	3.16174992
128	45	0	3.18664559
129	45	0	3.21154125
130	45	0	3.23643692
131	46	0	3.26133259
132	46	0	3.28622826
133	46	0	3.31112393
134	47	0	3.3360196
135	47	0	3.36091527
136	47	0	3.38581094
137	48	0	3.4107066
138	48	0	3.43560227
139	48	0	3.46049794
140	48	0	3.48539361
141	49	0	3.51028928
142	49	0	3.53518495
143	49	0	3.56008062
144	50	0	3.58497628
145	50	0	3.60987195
146	50	0	3.63476762
147	50	0	3.65966329
148	51	0	3.68455896
149	51	0	3.70945463
150	51	0	3.7343503
151	52	0	3.75924596
152	52	0	3.78414163
153	52	0	3.8090373
154	52	0	3.83393297
155	53	0	3.85882864
156	53	0	3.88372431
157	53	0	3.90861998
158	54	0	3.93351565
159	54	0	3.95841131
160	54	0	3.98330698
161	54	0	4.00820265
