Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0157222002	0.75159059	0.75159059	0.75159059	0.75159059	0	0	0	0	0	0	3
2	5	0	0.0314444003	0.745147702	0.748369146	0.745147702	0.75159059	0.00322144389	0	0	0	0	0	3
3	5	0	0.0471666005	0.739026951	0.745255081	0.739026951	0.75159059	0.00633550885	0	0	0	0	0	3
4	6	0	0.0628888007	0.733212209	0.742244363	0.733212209	0.75159059	0.00934622693	0	0	0	0	0	3
5	7	0	0.0786110009	0.727689449	0.73933338	0.727689449	0.75159059	0.0122572097	0	0	0	0	0	3
6	8	0	0.094333201	0.722444987	0.736518648	0.722444987	0.75159059	0.015071942	0	0	0	0	0	3
7	9	0	0.110055401	0.722680034	0.734541703	0.722444987	0.75159059	0.0170488869	0	0	0	0	0	3
8	9	0	0.125777601	0.723406847	0.733149846	0.722444987	0.75159059	0.018440744	0	0	0	0	0	3
9	10	0	0.141499802	0.723504634	0.732078156	0.722444987	0.75159059	0.0195124342	0	0	0	0	0	3
10	11	0	0.157222002	0.723520379	0.731222378	0.722444987	0.75159059	0.0203682119	0	0	0	0	0	3
11	12	0	0.172944202	0.723456536	0.730516392	0.722444987	0.75159059	0.0210741976	0	0	0	0	0	3
12	12	0	0.188666402	0.723403415	0.729923644	0.722444987	0.75159059	0.0216669458	0	0	0	0	0	3
13	13	0	0.204388602	0.723362095	0.72941891	0.722444987	0.75159059	0.0221716803	0	0	0	0	0	3
14	14	0	0.220110802	0.723317243	0.728983076	0.722444987	0.75159059	0.0226075136	0	0	0	0	0	3
15	15	0	0.235833003	0.723255109	0.728601212	0.722444987	0.75159059	0.0229893781	0	0	0	0	0	3
16	15	0	0.251555203	0.723221471	0.728264978	0.722444987	0.75159059	0.0233256119	0	0	0	0	0	3
17	16	0	0.267277403	0.723178719	0.727965786	0.722444987	0.75159059	0.0236248036	0	0	0	0	0	3
18	17	0	0.282999603	0.723141543	0.727697773	0.722444987	0.75159059	0.0238928172	0	0	0	0	0	3
19	17	0	0.298721803	0.723104172	0.727456004	0.722444987	0.75159059	0.0241345857	0	0	0	0	0	3
20	18	0	0.314444003	0.72307403	0.727236906	0.722444987	0.75159059	0.0243536844	0	0	0	0	0	3
21	19	0	0.330166204	0.723025319	0.727036354	0.722444987	0.75159059	0.0245542361	0	0	0	0	0	3
22	19	0	0.345888404	0.722977334	0.726851853	0.722444987	0.75159059	0.024738737	0	0	0	0	0	3
23	20	0	0.361610604	0.722928242	0.726681261	0.722444987	0.75159059	0.0249093288	0	0	0	0	0	3
24	21	0	0.377332804	0.722883206	0.726523009	0.722444987	0.75159059	0.0250675811	0	0	0	0	0	3
25	22	0	0.393055004	0.722835271	0.726375499	0.722444987	0.75159059	0.0252150906	0	0	0	0	0	3
26	22	0	0.408777204	0.722765293	0.726236645	0.722444987	0.75159059	0.0253539447	0	0	0	0	0	3
27	23	0	0.424499405	0.722691665	0.72610535	0.722444987	0.75159059	0.0254852403	0	0	0	0	0	3
28	24	0	0.440221605	0.722614804	0.725980687	0.722444987	0.75159059	0.0256099026	0	0	0	0	0	3
29	24	0	0.455943805	0.72253487	0.725861866	0.722444987	0.75159059	0.0257287239	0	0	0	0	0	3
30	25	0	0.471666005	0.722457119	0.725748375	0.722444987	0.75159059	0.0258422155	0	0	0	0	0	3
31	26	0	0.487388205	0.722338815	0.725638389	0.722338815	0.75159059	0.0259522013	0	0	0	0	0	3
32	26	0	0.503110406	0.722222471	0.725531641	0.722222471	0.75159059	0.0260589487	0	0	0	0	0	3
33	27	0	0.518832606	0.722106599	0.724610267	0.722106599	0.745147702	0.023041103	0	0	0	0	0	3
34	28	0	0.534554806	0.721988103	0.723886529	0.721988103	0.739026951	0.0170388483	0	0	0	0	0	3
35	29	0	0.550277006	0.721870296	0.723350384	0.721870296	0.733212209	0.0113419128	0	0	0	0	0	3
36	29	0	0.565999206	0.721693062	0.72299041	0.721693062	0.727689449	0.00599638773	0	0	0	0	0	3
37	30	0	0.581721406	0.721511109	0.722797337	0.721511109	0.723520379	0.0020092704	0	0	0	0	0	3
38	31	0	0.597443607	0.721323388	0.722762287	0.721323388	0.723520379	0.00219699066	0	0	0	0	0	3
39	31	0	0.613165807	0.721133612	0.722713962	0.721133612	0.723520379	0.00238676671	0	0	0	0	0	3
40	32	0	0.628888007	0.720938047	0.722636812	0.720938047	0.723520379	0.00258233182	0	0	0	0	0	3
41	33	0	0.644610207	0.720641429	0.722547336	0.720641429	0.723520379	0.00287894991	0	0	0	0	0	3
42	33	0	0.660332407	0.72035431	0.722448397	0.72035431	0.723456536	0.00310222558	0	0	0	0	0	3
43	34	0	0.676054607	0.720075927	0.722342753	0.720075927	0.723403415	0.00332748788	0	0	0	0	0	3
44	35	0	0.691776808	0.719790267	0.722229842	0.719790267	0.723362095	0.00357182789	0	0	0	0	0	3
45	35	0	0.707499008	0.719503018	0.722109246	0.719503018	0.723317243	0.00381422491	0	0	0	0	0	3
46	36	0	0.723221208	0.719213984	0.721981019	0.719213984	0.723255109	0.00404112542	0	0	0	0	0	3
47	37	0	0.738943408	0.718913565	0.721845346	0.718913565	0.723221471	0.00430790598	0	0	0	0	0	3
48	37	0	0.754665608	0.718609578	0.721701224	0.718609578	0.723178719	0.00456914149	0	0	0	0	0	3
49	38	0	0.770387808	0.718300787	0.721548789	0.718300787	0.723141543	0.00484075615	0	0	0	0	0	3
50	39	0	0.786110009	0.717989247	0.721387779	0.717989247	0.723104172	0.00511492498	0	0	0	0	0	3
51	40	0	0.801832209	0.717673134	0.721218059	0.717673134	0.72307403	0.00540089624	0	0	0	0	0	3
52	40	0	0.817554409	0.717352944	0.721039275	0.717352944	0.723025319	0.00567237457	0	0	0	0	0	3
53	41	0	0.833276609	0.717025274	0.720851774	0.717025274	0.722977334	0.00595206047	0	0	0	0	0	3
54	42	0	0.848998809	0.716703031	0.720655702	0.716703031	0.722928242	0.00602555921	0	0	0	0	0	3
55	42	0	0.86472101	0.716380131	0.720451074	0.716380131	0.722883206	0.00607193535	0	0	0	0	0	3
56	43	0	0.88044321	0.716056232	0.720237731	0.716056232	0.722835271	0.00613776876	0	0	0	0	0	3
57	44	0	0.89616541	0.715730728	0.720015714	0.715730728	0.722765293	0.00622093164	0	0	0	0	0	3
58	44	0	0.91188761	0.715410338	0.719785871	0.715410338	0.722691665	0.00631947841	0	0	0	0	0	3
59	45	0	0.92760981	0.715082692	0.719548091	0.715082692	0.722614804	0.00643259647	0	0	0	0	0	3
60	46	0	0.94333201	0.714758115	0.719302569	0.714758115	0.72253487	0.00655929671	0	0	0	0	0	3
61	47	0	0.959054211	0.714430239	0.7190493	0.714430239	0.722457119	0.00669907486	0	0	0	0	0	3
62	47	0	0.974776411	0.714102583	0.718788221	0.714102583	0.722338815	0.00685016829	0	0	0	0	0	3
63	48	0	0.990498611	0.713770435	0.718520459	0.713770435	0.722222471	0.00701118272	0	0	0	0	0	3
64	49	0	1.00622081	0.713438844	0.71824597	0.713438844	0.722106599	0.00636429636	0.000767643225	0	12	0	0	3
