Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0157222002	101704.981	101704.981	101704.981	101704.981	0	0	0	0	0	0	3
2	5	0	0.0314444003	100833.168	101269.075	100833.168	101704.981	435.906523	0	0	0	0	0	3
3	5	0	0.0471666005	100004.946	100847.699	100004.946	101704.981	857.282829	0	0	0	0	0	3
4	6	0	0.0628888007	99218.1348	100440.308	99218.1348	101704.981	1264.6738	0	0	0	0	0	3
5	7	0	0.0786110009	98470.838	100046.414	98470.838	101704.981	1658.56774	0	0	0	0	0	3
6	8	0	0.094333201	97761.2462	99665.5525	97761.2462	101704.981	2039.429	0	0	0	0	0	3
7	9	0	0.110055401	97793.1654	99398.0686	97761.2462	101704.981	2306.91286	0	0	0	0	0	3
8	9	0	0.125777601	97891.6651	99209.7682	97761.2462	101704.981	2495.2133	0	0	0	0	0	3
9	10	0	0.141499802	97905.0654	99064.8012	97761.2462	101704.981	2640.18027	0	0	0	0	0	3
10	11	0	0.157222002	97907.3774	98949.0588	97761.2462	101704.981	2755.92265	0	0	0	0	0	3
11	12	0	0.172944202	97899.0429	98853.6028	97761.2462	101704.981	2851.37864	0	0	0	0	0	3
12	12	0	0.188666402	97892.1922	98773.4853	97761.2462	101704.981	2931.4962	0	0	0	0	0	3
13	13	0	0.204388602	97886.9872	98705.2931	97761.2462	101704.981	2999.68836	0	0	0	0	0	3
14	14	0	0.220110802	97881.3516	98646.4402	97761.2462	101704.981	3058.54132	0	0	0	0	0	3
15	15	0	0.235833003	97873.4384	98594.9067	97761.2462	101704.981	3110.07477	0	0	0	0	0	3
16	15	0	0.251555203	97869.7693	98549.5856	97761.2462	101704.981	3155.39586	0	0	0	0	0	3
17	16	0	0.267277403	97865.0255	98509.3174	97761.2462	101704.981	3195.6641	0	0	0	0	0	3
18	17	0	0.282999603	97861.172	98473.3093	97761.2462	101704.981	3231.67218	0	0	0	0	0	3
19	17	0	0.298721803	97857.4773	98440.8971	97761.2462	101704.981	3264.08439	0	0	0	0	0	3
20	18	0	0.314444003	97854.9213	98411.5983	97761.2462	101704.981	3293.38317	0	0	0	0	0	3
21	19	0	0.330166204	97851.1875	98384.9121	97761.2462	101704.981	3320.0694	0	0	0	0	0	3
22	19	0	0.345888404	97847.9335	98360.504	97761.2462	101704.981	3344.47752	0	0	0	0	0	3
23	20	0	0.361610604	97845.0235	98338.0918	97761.2462	101704.981	3366.88971	0	0	0	0	0	3
24	21	0	0.377332804	97843.1081	98317.4674	97761.2462	101704.981	3387.51403	0	0	0	0	0	3
25	22	0	0.393055004	97841.3324	98298.422	97761.2462	101704.981	3406.55943	0	0	0	0	0	3
26	22	0	0.408777204	97840.0062	98280.7907	97761.2462	101704.981	3424.19081	0	0	0	0	0	3
27	23	0	0.424499405	97839.0306	98264.4292	97761.2462	101704.981	3440.55229	0	0	0	0	0	3
28	24	0	0.440221605	97838.2767	98249.2094	97761.2462	101704.981	3455.77203	0	0	0	0	0	3
29	24	0	0.455943805	97837.7305	98235.0205	97761.2462	101704.981	3469.96095	0	0	0	0	0	3
30	25	0	0.471666005	97837.4718	98221.7689	97761.2462	101704.981	3483.21258	0	0	0	0	0	3
31	26	0	0.487388205	97837.2994	98209.3667	97761.2462	101704.981	3495.61482	0	0	0	0	0	3
32	26	0	0.503110406	97837.2241	98197.7372	97761.2462	101704.981	3507.24427	0	0	0	0	0	3
33	27	0	0.518832606	97837.2827	98076.8716	97761.2462	100833.168	3071.92223	0	0	0	0	0	3
