Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0157222002	0.0298824912	0.0298824912	0.0298824912	0.0298824912	0	0	0	0	0	0	3
2	5	0	0.0314444003	0.0356375485	0.0327600198	0.0298824912	0.0356375485	0.00287752866	0	0	0	0	0	3
3	5	0	0.0471666005	0.0386779386	0.0347326594	0.0298824912	0.0386779386	0.00485016823	0	0	0	0	0	3
4	6	0	0.0628888007	0.0405369329	0.0361837278	0.0298824912	0.0405369329	0.0063012366	0	0	0	0	0	3
5	7	0	0.0786110009	0.0421179703	0.0373705763	0.0298824912	0.0421179703	0.00748808509	0	0	0	0	0	3
6	8	0	0.094333201	0.0443492241	0.0385336843	0.0298824912	0.0443492241	0.00865119307	0	0	0	0	0	3
7	9	0	0.110055401	0.0477445674	0.0398495247	0.0298824912	0.0477445674	0.00996703351	0	0	0	0	0	3
8	9	0	0.125777601	0.0466360585	0.0406978414	0.0298824912	0.0477445674	0.0108153502	0	0	0	0	0	3
9	10	0	0.141499802	0.0448992813	0.0411646681	0.0298824912	0.0477445674	0.0112821769	0	0	0	0	0	3
10	11	0	0.157222002	0.0453409918	0.0415823005	0.0298824912	0.0477445674	0.0116998093	0	0	0	0	0	3
11	12	0	0.172944202	0.0454785934	0.0419365089	0.0298824912	0.0477445674	0.0120540177	0	0	0	0	0	3
12	12	0	0.188666402	0.0473207074	0.0423851921	0.0298824912	0.0477445674	0.0125027009	0	0	0	0	0	3
13	13	0	0.204388602	0.0482709443	0.0428379423	0.0298824912	0.0482709443	0.0129554511	0	0	0	0	0	3
14	14	0	0.220110802	0.0501194712	0.0433580515	0.0298824912	0.0501194712	0.0134755603	0	0	0	0	0	3
15	15	0	0.235833003	0.0513703197	0.0438922027	0.0298824912	0.0513703197	0.0140097115	0	0	0	0	0	3
16	15	0	0.251555203	0.0540584886	0.0445275956	0.0298824912	0.0540584886	0.0146451044	0	0	0	0	0	3
17	16	0	0.267277403	0.0558504254	0.0451936444	0.0298824912	0.0558504254	0.0153111532	0	0	0	0	0	3
18	17	0	0.282999603	0.0581951212	0.0459159486	0.0298824912	0.0581951212	0.0160334575	0	0	0	0	0	3
19	17	0	0.298721803	0.0599423186	0.0466541786	0.0298824912	0.0599423186	0.0167716875	0	0	0	0	0	3
20	18	0	0.314444003	0.0619695013	0.0474199448	0.0298824912	0.0619695013	0.0175374536	0	0	0	0	0	3
21	19	0	0.330166204	0.0642095285	0.0482194488	0.0298824912	0.0642095285	0.0183369576	0	0	0	0	0	3
22	19	0	0.345888404	0.0665077219	0.0490507339	0.0298824912	0.0665077219	0.0191682427	0	0	0	0	0	3
23	20	0	0.361610604	0.0683673042	0.0498905848	0.0298824912	0.0683673042	0.0200080936	0	0	0	0	0	3
24	21	0	0.377332804	0.0705260703	0.0507503967	0.0298824912	0.0705260703	0.0208679055	0	0	0	0	0	3
