Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0156514745	0.825740926	0.825740926	0.825740926	0.825740926	0	0	0	0	0	0	3
2	4	0	0.031302949	0.782835844	0.804288385	0.782835844	0.825740926	0.021452541	0	0	0	0	0	3
3	5	0	0.0469544235	0.75541105	0.78799594	0.75541105	0.825740926	0.037744986	0	0	0	0	0	3
4	6	0	0.062605898	0.752664968	0.779163197	0.752664968	0.825740926	0.046577729	0	0	0	0	0	3
5	6	0	0.0782573725	0.751615176	0.773653593	0.751615176	0.825740926	0.0520873332	0	0	0	0	0	3
6	7	0	0.093908847	0.751601517	0.769978247	0.751601517	0.825740926	0.0557626793	0	0	0	0	0	3
7	8	0	0.109560322	0.750692718	0.767223171	0.750692718	0.825740926	0.0585177548	0	0	0	0	0	3
8	8	0	0.125211796	0.750879195	0.765180174	0.750692718	0.825740926	0.0605607518	0	0	0	0	0	3
9	9	0	0.140863271	0.750435757	0.763541906	0.750435757	0.825740926	0.0621990203	0	0	0	0	0	3
10	10	0	0.156514745	0.75073075	0.76226079	0.750435757	0.825740926	0.0634801359	0	0	0	0	0	3
11	10	0	0.17216622	0.749715045	0.761120268	0.749715045	0.825740926	0.0646206582	0	0	0	0	0	3
12	11	0	0.187817694	0.750547754	0.760239225	0.749715045	0.825740926	0.0655017011	0	0	0	0	0	3
13	12	0	0.203469169	0.749562767	0.759417959	0.749562767	0.825740926	0.0663229671	0	0	0	0	0	3
14	12	0	0.219120643	0.749670302	0.758721698	0.749562767	0.825740926	0.0670192283	0	0	0	0	0	3
15	13	0	0.234772118	0.749438305	0.758102805	0.749438305	0.825740926	0.0676381212	0	0	0	0	0	3
16	14	0	0.250423592	0.749422999	0.757560317	0.749422999	0.825740926	0.0681806091	0	0	0	0	0	3
17	14	0	0.266075067	0.749404387	0.757080557	0.749404387	0.825740926	0.0686603696	0	0	0	0	0	3
18	15	0	0.281726541	0.749417554	0.756654834	0.749404387	0.825740926	0.069086092	0	0	0	0	0	3
