Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0156514745	111681.873	111681.873	111681.873	111681.873	0	0	0	0	0	0	3
2	4	0	0.031302949	105911.3	108796.586	105911.3	111681.873	2885.28631	0	0	0	0	0	3
3	5	0	0.0469544235	102423.625	106672.266	102423.625	111681.873	5009.60672	0	0	0	0	0	3
4	6	0	0.062605898	101894.651	105477.862	101894.651	111681.873	6204.01056	0	0	0	0	0	3
5	6	0	0.0782573725	101778.462	104737.982	101778.462	111681.873	6943.89057	0	0	0	0	0	3
6	7	0	0.093908847	101713.389	104233.883	101713.389	111681.873	7447.98941	0	0	0	0	0	3
7	8	0	0.109560322	101586.757	103855.722	101586.757	111681.873	7826.15033	0	0	0	0	0	3
8	8	0	0.125211796	101592.427	103572.81	101586.757	111681.873	8109.06227	0	0	0	0	0	3
9	9	0	0.140863271	101585.761	103352.027	101585.761	111681.873	8329.84555	0	0	0	0	0	3
10	10	0	0.156514745	101617.212	103178.546	101585.761	111681.873	8503.32707	0	0	0	0	0	3
11	10	0	0.17216622	101638.949	103038.582	101585.761	111681.873	8643.29041	0	0	0	0	0	3
12	11	0	0.187817694	101645.197	102922.467	101585.761	111681.873	8759.40586	0	0	0	0	0	3
13	12	0	0.203469169	101673.82	102826.417	101585.761	111681.873	8855.45565	0	0	0	0	0	3
14	12	0	0.219120643	101710.35	102746.698	101585.761	111681.873	8935.17475	0	0	0	0	0	3
15	13	0	0.234772118	101739.279	102679.537	101585.761	111681.873	9002.33604	0	0	0	0	0	3
16	14	0	0.250423592	101761.628	102622.167	101585.761	111681.873	9059.70532	0	0	0	0	0	3
17	14	0	0.266075067	101762.098	102571.575	101585.761	111681.873	9110.29763	0	0	0	0	0	3
18	15	0	0.281726541	101779.24	102527.556	101585.761	111681.873	9154.31627	0	0	0	0	0	3
19	16	0	0.297378016	101791.843	102488.835	101585.761	111681.873	9193.03804	0	0	0	0	0	3
20	16	0	0.31302949	101790.089	102453.897	101585.761	111681.873	9227.97535	0	0	0	0	0	3
21	17	0	0.328680965	101776.95	102421.662	101585.761	111681.873	9260.21093	0	0	0	0	0	3
22	17	0	0.344332439	101792.737	102393.074	101585.761	111681.873	9288.79842	0	0	0	0	0	3
23	18	0	0.359983914	101808.034	102367.638	101585.761	111681.873	9314.23495	0	0	0	0	0	3
24	19	0	0.375635388	101816.476	102344.673	101585.761	111681.873	9337.20001	0	0	0	0	0	3
25	19	0	0.391286863	101834.782	102324.277	101585.761	111681.873	9357.59565	0	0	0	0	0	3
26	20	0	0.406938337	101881.145	102307.234	101585.761	111681.873	9374.63919	0	0	0	0	0	3
27	21	0	0.422589812	101935.498	102293.466	101585.761	111681.873	9388.40715	0	0	0	0	0	3
28	22	0	0.438241286	101985.639	102282.472	101585.761	111681.873	9399.40096	0	0	0	0	0	3
29	22	0	0.453892761	102039.922	102274.108	101585.761	111681.873	9407.76476	0	0	0	0	0	3
30	23	0	0.469544235	102098.807	102268.265	101585.761	111681.873	9413.60814	0	0	0	0	0	3
31	24	0	0.48519571	102184.582	102265.565	101585.761	111681.873	9416.30757	0	0	0	0	0	3
32	25	0	0.500847184	102264.035	102265.517	101585.761	111681.873	9416.35539	0	0	0	0	0	3
33	25	0	0.516498659	102357.194	101974.121	101585.761	105911.3	4325.53915	0	0	0	0	0	3
34	26	0	0.532150133	102446.363	101865.842	101585.761	102446.363	860.601845	0	0	0	0	0	3
35	27	0	0.547801608	102531.119	101869.201	101585.761	102531.119	945.357647	0	0	0	0	0	3
36	27	0	0.563453082	102669.797	101893.424	101585.761	102669.797	1084.03572	0	0	0	0	0	3
37	28	0	0.579104557	102803.944	101925.471	101585.761	102803.944	1218.18322	0	0	0	0	0	3
38	29	0	0.594756031	102943.72	101963.918	101585.761	102943.72	1357.95944	0	0	0	0	0	3
39	30	0	0.610407506	103089.742	102010.887	101585.761	103089.742	1503.98079	0	0	0	0	0	3
40	30	0	0.62605898	103230.61	102062.08	101585.761	103230.61	1486.18533	0	0	0	0	0	3
41	31	0	0.641710455	103451.308	102120.378	101617.212	103451.308	1312.7038	0	0	0	0	0	3
42	32	0	0.657361929	103678.593	102184.796	101638.949	103678.593	1172.74047	0	0	0	0	0	3
43	32	0	0.673013404	103904.638	102255.599	101645.197	103904.638	1056.62501	0	0	0	0	0	3
44	33	0	0.688664878	104143.925	102333.684	101673.82	104143.925	960.575227	0	0	0	0	0	3
45	34	0	0.704316353	104390.348	102418.576	101710.35	104390.348	880.856127	0	0	0	0	0	3
46	35	0	0.719967827	104637.474	102510.049	101739.279	104637.474	813.694831	0	0	0	0	0	3
