Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0157222002	38.473765	38.473765	38.473765	38.473765	0	0	0	0	0	0	3
2	5	0	0.0314444003	119.260587	78.8671762	38.473765	119.260587	40.3934112	0	0	0	0	0	3
3	5	0	0.0471666005	88.2526341	81.9956621	38.473765	119.260587	43.5218971	0	0	0	0	0	3
4	6	0	0.0628888007	74.2344981	80.0553711	38.473765	119.260587	43.5218971	0	0	0	0	0	3
5	7	0	0.0786110009	66.6023467	77.3647662	38.473765	119.260587	43.5218971	0	0	0	0	0	3
6	8	0	0.094333201	57.4594061	74.0472062	38.473765	119.260587	43.5218971	0	0	0	0	0	3
7	9	0	0.110055401	51.7629804	70.8637454	38.473765	119.260587	43.5218971	0	0	0	0	0	3
8	9	0	0.125777601	50.9420975	68.3735394	38.473765	119.260587	43.5218971	0	0	0	0	0	3
9	10	0	0.141499802	50.4439851	66.3813667	38.473765	119.260587	43.5218971	0	0	0	0	0	3
10	11	0	0.157222002	50.7501998	64.81825	38.473765	119.260587	43.5218971	0	0	0	0	0	3
11	12	0	0.172944202	50.6312536	63.5285231	38.473765	119.260587	43.5218971	0	0	0	0	0	3
12	12	0	0.188666402	50.0815212	62.4079396	38.473765	119.260587	43.5218971	0	0	0	0	0	3
13	13	0	0.204388602	49.1948179	61.3915456	38.473765	119.260587	43.5218971	0	0	0	0	0	3
14	14	0	0.220110802	48.6551622	60.4818039	38.473765	119.260587	43.5218971	0	0	0	0	0	3
15	15	0	0.235833003	48.5163171	59.6841048	38.473765	119.260587	43.5218971	0	0	0	0	0	3
16	15	0	0.251555203	48.3807159	58.977643	38.473765	119.260587	43.5218971	0	0	0	0	0	3
17	16	0	0.267277403	49.3033138	58.4085648	38.473765	119.260587	43.5218971	0	0	0	0	0	3
18	17	0	0.282999603	50.0117616	57.9420757	38.473765	119.260587	43.5218971	0	0	0	0	0	3
19	17	0	0.298721803	49.2904366	57.4867263	38.473765	119.260587	43.5218971	0	0	0	0	0	3
20	18	0	0.314444003	50.6947717	57.1471286	38.473765	119.260587	43.5218971	0	0	0	0	0	3
21	19	0	0.330166204	52.2817131	56.9154421	38.473765	119.260587	43.5218971	0	0	0	0	0	3
22	19	0	0.345888404	53.7754481	56.7727151	38.473765	119.260587	43.5218971	0	0	0	0	0	3
23	20	0	0.361610604	54.0675319	56.6550985	38.473765	119.260587	43.5218971	0	0	0	0	0	3
24	21	0	0.377332804	53.0374292	56.5043622	38.473765	119.260587	43.5218971	0	0	0	0	0	3
25	22	0	0.393055004	52.1741939	56.3311555	38.473765	119.260587	43.5218971	0	0	0	0	0	3
26	22	0	0.408777204	51.8212957	56.1576994	38.473765	119.260587	43.5218971	0	0	0	0	0	3
27	23	0	0.424499405	50.8777364	55.9621452	38.473765	119.260587	43.5218971	0	0	0	0	0	3
28	24	0	0.440221605	49.4156317	55.7283411	38.473765	119.260587	43.5218971	0	0	0	0	0	3
29	24	0	0.455943805	49.5287312	55.5145615	38.473765	119.260587	43.5218971	0	0	0	0	0	3
30	25	0	0.471666005	49.3513994	55.3091227	38.473765	119.260587	43.5218971	0	0	0	0	0	3
31	26	0	0.487388205	49.6631645	55.126995	38.473765	119.260587	43.5218971	0	0	0	0	0	3
