Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0156514745	96482.7546	96482.7546	96482.7546	96482.7546	0	0	0	0	0	0	3
2	4	0	0.031302949	97057.8601	96770.3074	96482.7546	97057.8601	287.552773	0	0	0	0	0	3
3	5	0	0.0469544235	97384.6409	96975.0852	96482.7546	97384.6409	492.330632	0	0	0	0	0	3
4	6	0	0.062605898	98736.9562	97415.553	96482.7546	98736.9562	932.798372	0	0	0	0	0	3
5	6	0	0.0782573725	99432.3437	97818.9111	96482.7546	99432.3437	1336.15651	0	0	0	0	0	3
6	7	0	0.093908847	100157.566	98208.6869	96482.7546	100157.566	1725.93226	0	0	0	0	0	3
7	8	0	0.109560322	99909.9521	98451.7247	96482.7546	100157.566	1968.97015	0	0	0	0	0	3
8	8	0	0.125211796	100247.631	98676.213	96482.7546	100247.631	2193.45841	0	0	0	0	0	3
9	9	0	0.140863271	100003.445	98823.6832	96482.7546	100247.631	2340.9286	0	0	0	0	0	3
10	10	0	0.156514745	100215.887	98962.9036	96482.7546	100247.631	2480.14897	0	0	0	0	0	3
11	10	0	0.17216622	100053.801	99062.076	96482.7546	100247.631	2579.32145	0	0	0	0	0	3
12	11	0	0.187817694	100149.015	99152.6543	96482.7546	100247.631	2669.89969	0	0	0	0	0	3
13	12	0	0.203469169	100069.304	99223.1658	96482.7546	100247.631	2740.41117	0	0	0	0	0	3
14	12	0	0.219120643	100108.5	99286.4039	96482.7546	100247.631	2803.64935	0	0	0	0	0	3
15	13	0	0.234772118	100098.644	99340.5533	96482.7546	100247.631	2857.7987	0	0	0	0	0	3
16	14	0	0.250423592	100138.769	99390.4418	96482.7546	100247.631	2907.68717	0	0	0	0	0	3
17	14	0	0.266075067	100137.585	99434.3914	96482.7546	100247.631	2951.63678	0	0	0	0	0	3
18	15	0	0.281726541	100159.774	99474.6904	96482.7546	100247.631	2991.93581	0	0	0	0	0	3
19	16	0	0.297378016	100157.066	99510.6049	96482.7546	100247.631	3027.85029	0	0	0	0	0	3
20	16	0	0.31302949	100171.133	99543.6313	96482.7546	100247.631	3060.8767	0	0	0	0	0	3
