Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0135874139	0.00389906805	0.00389906805	0.00389906805	0.00389906805	0	0	0	0	0	0	3
2	10	0	0.0271748278	0.00389912091	0.00389909448	0.00389906805	0.00389912091	2.6429319e-08	0	0	0	0	0	3
3	12	0	0.0407622417	0.00389909021	0.00389909305	0.00389906805	0.00389912091	2.6429319e-08	0	0	0	0	0	3
4	13	0	0.0543496556	0.00389906061	0.00389908494	0.00389906061	0.00389912091	2.6429319e-08	0	0	0	0	0	3
5	15	0	0.0679370695	0.00389904325	0.00389907661	0.00389904325	0.00389912091	2.6429319e-08	0	0	0	0	0	3
6	17	0	0.0815244834	0.00389902638	0.00389906823	0.00389902638	0.00389912091	2.6429319e-08	0	0	0	0	0	3
7	19	0	0.0951118973	0.0038990156	0.00389906072	0.0038990156	0.00389912091	3.37621023e-08	0	0	0	0	0	3
8	20	0	0.108699311	0.00389900959	0.00389905432	0.00389900959	0.00389912091	4.01527948e-08	0	0	0	0	0	3
9	22	0	0.122286725	0.00389900421	0.00389904876	0.00389900421	0.00389912091	4.57209624e-08	0	0	0	0	0	3
10	23	0	0.135874139	0.00389900242	0.00389904412	0.00389900242	0.00389912091	5.03550583e-08	0	0	0	0	0	3
11	25	0	0.149461553	0.00389899819	0.00389903995	0.00389899819	0.00389912091	5.45306465e-08	0	0	0	0	0	3
12	26	0	0.163048967	0.0038989978	0.00389903643	0.0038989978	0.00389912091	5.80432372e-08	0	0	0	0	0	3
13	27	0	0.176636381	0.00389899585	0.00389903331	0.00389899585	0.00389912091	6.11649597e-08	0	0	0	0	0	3
14	29	0	0.190223795	0.00389899564	0.00389903062	0.00389899564	0.00389912091	6.38555764e-08	0	0	0	0	0	3
15	30	0	0.203811208	0.00389899488	0.00389902824	0.00389899488	0.00389912091	6.62380774e-08	0	0	0	0	0	3
16	32	0	0.217398622	0.00389899305	0.00389902604	0.00389899305	0.00389912091	6.84371932e-08	0	0	0	0	0	3
17	33	0	0.230986036	0.00389899163	0.00389902402	0.00389899163	0.00389912091	7.04611954e-08	0	0	0	0	0	3
18	34	0	0.24457345	0.00389899021	0.00389902214	0.00389899021	0.00389912091	7.23392528e-08	0	0	0	0	0	3
19	36	0	0.258160864	0.00389898887	0.00389902039	0.00389898887	0.00389912091	7.4090264e-08	0	0	0	0	0	3
20	37	0	0.271748278	0.00389898704	0.00389901872	0.00389898704	0.00389912091	7.57574592e-08	0	0	0	0	0	3
21	39	0	0.285335692	0.00389898484	0.00389901711	0.00389898484	0.00389912091	7.7370744e-08	0	0	0	0	0	3
22	40	0	0.298923106	0.00389898228	0.00389901552	0.00389898228	0.00389912091	7.89536799e-08	0	0	0	0	0	3
23	41	0	0.31251052	0.00389897977	0.00389901397	0.00389897977	0.00389912091	8.05082688e-08	0	0	0	0	0	3
24	42	0	0.326097934	0.00389897697	0.00389901243	0.00389897697	0.00389912091	8.20499328e-08	0	0	0	0	0	3
25	44	0	0.339685347	0.00389897416	0.0038990109	0.00389897416	0.00389912091	8.35806051e-08	0	0	0	0	0	3
26	45	0	0.353272761	0.00389896999	0.00389900932	0.00389896999	0.00389912091	8.51540289e-08	0	0	0	0	0	3
27	46	0	0.366860175	0.00389896574	0.00389900771	0.00389896574	0.00389912091	8.67683987e-08	0	0	0	0	0	3
28	48	0	0.380447589	0.00389896144	0.00389900606	0.00389896144	0.00389912091	8.84207036e-08	0	0	0	0	0	3
29	49	0	0.394035003	0.00389895719	0.00389900437	0.00389895719	0.00389912091	9.01055889e-08	0	0	0	0	0	3
30	51	0	0.407622417	0.0038989531	0.00389900266	0.0038989531	0.00389912091	9.18146899e-08	0	0	0	0	0	3
31	52	0	0.421209831	0.00389894693	0.00389900086	0.00389894693	0.00389912091	9.36124685e-08	0	0	0	0	0	3
32	53	0	0.434797245	0.00389894063	0.00389899898	0.00389894063	0.00389912091	9.54949133e-08	0	0	0	0	0	3
33	55	0	0.448384659	0.00389893453	0.00389899703	0.00389893453	0.00389912091	9.744813e-08	0	0	0	0	0	3
34	56	0	0.461972073	0.00389892826	0.00389899501	0.00389892826	0.00389912091	9.94708345e-08	0	0	0	0	0	3
35	57	0	0.475559486	0.00389892217	0.00389899293	0.00389892217	0.00389912091	1.01552007e-07	0	0	0	0	0	3
36	59	0	0.4891469	0.00389891296	0.0038989907	0.00389891296	0.00389912091	1.0377324e-07	0	0	0	0	0	3
37	60	0	0.502734314	0.00389890382	0.00389898836	0.00389890382	0.00389912091	1.0612143e-07	0	0	0	0	0	3
38	61	0	0.516321728	0.00389889488	0.00389898368	0.00389889488	0.00389912091	1.10801624e-07	0	0	0	0	0	3
39	62	0	0.529909142	0.00389888603	0.00389897733	0.00389888603	0.00389909021	1.15726213e-07	0	0	0	0	0	3
40	64	0	0.543496556	0.00389887712	0.00389897157	0.00389887712	0.00389906061	1.13375573e-07	0	0	0	0	0	3
41	65	0	0.55708397	0.00389886441	0.00389896627	0.00389886441	0.00389904325	1.10340102e-07	0	0	0	0	0	3
42	66	0	0.570671384	0.00389885186	0.00389896109	0.00389885186	0.00389902638	1.07141318e-07	0	0	0	0	0	3
43	67	0	0.584258798	0.00389883921	0.00389895603	0.00389883921	0.0038990156	1.04680896e-07	0	0	0	0	0	3
44	69	0	0.597846212	0.00389882709	0.00389895094	0.00389882709	0.00389900959	1.03385077e-07	0	0	0	0	0	3
45	70	0	0.611433625	0.00389881482	0.00389894568	0.00389881482	0.00389900421	1.03081079e-07	0	0	0	0	0	3
46	71	0	0.625021039	0.00389880274	0.00389894023	0.00389880274	0.00389900242	1.03892146e-07	0	0	0	0	0	3
47	73	0	0.638608453	0.00389879055	0.0038989345	0.00389879055	0.00389899819	1.05442593e-07	0	0	0	0	0	3
48	74	0	0.652195867	0.00389877874	0.00389892857	0.00389877874	0.0038989978	1.07861211e-07	0	0	0	0	0	3
49	75	0	0.665783281	0.00389876672	0.00389892233	0.00389876672	0.00389899585	1.10984767e-07	0	0	0	0	0	3
50	77	0	0.679370695	0.00389875501	0.00389891582	0.00389875501	0.00389899564	1.14803424e-07	0	0	0	0	0	3
51	78	0	0.692958109	0.00389874318	0.003898909	0.00389874318	0.00389899488	1.1924423e-07	0	0	0	0	0	3
52	79	0	0.706545523	0.00389873176	0.00389890188	0.00389873176	0.00389899305	1.24156716e-07	0	0	0	0	0	3
53	80	0	0.720132937	0.0038987202	0.00389889451	0.0038987202	0.00389899163	1.29507023e-07	0	0	0	0	0	3
54	82	0	0.733720351	0.00389870887	0.00389888687	0.00389870887	0.00389899021	1.35271109e-07	0	0	0	0	0	3
55	83	0	0.747307764	0.00389869741	0.00389887895	0.00389869741	0.00389898887	1.41433633e-07	0	0	0	0	0	3
56	84	0	0.760895178	0.00389868631	0.00389887078	0.00389868631	0.00389898704	1.47943674e-07	0	0	0	0	0	3
57	86	0	0.774482592	0.00389867502	0.00389886234	0.00389867502	0.00389898484	1.54763563e-07	0	0	0	0	0	3
58	87	0	0.788070006	0.00389866428	0.00389885368	0.00389866428	0.00389898228	1.61844325e-07	0	0	0	0	0	3
59	88	0	0.80165742	0.00389865315	0.00389884478	0.00389865315	0.00389897977	1.6918509e-07	0	0	0	0	0	3
60	90	0	0.815244834	0.0038986423	0.00389883566	0.0038986423	0.00389897697	1.76764298e-07	0	0	0	0	0	3
61	91	0	0.828832248	0.00389863125	0.00389882632	0.00389863125	0.00389897416	1.84577302e-07	0	0	0	0	0	3
62	92	0	0.842419662	0.00389862046	0.00389881676	0.00389862046	0.00389896999	1.9256346e-07	0	0	0	0	0	3
63	93	0	0.856007076	0.00389860959	0.00389880702	0.00389860959	0.00389896574	2.00689487e-07	0	0	0	0	0	3
64	95	0	0.869594489	0.00389859896	0.00389879711	0.00389859896	0.00389896144	2.08950086e-07	0	0	0	0	0	3
65	96	0	0.883181903	0.00389858823	0.00389878702	0.00389858823	0.00389895719	2.17352095e-07	0	0	0	0	0	3
66	97	0	0.896769317	0.00389857782	0.00389877677	0.00389857782	0.0038989531	2.25896273e-07	0	0	0	0	0	3
67	99	0	0.910356731	0.00389856716	0.00389876634	0.00389856716	0.00389894693	2.34529391e-07	0	0	0	0	0	3
68	100	0	0.923944145	0.00389855691	0.00389875579	0.00389855691	0.00389894063	2.43187989e-07	0	0	0	0	0	3
69	101	0	0.937531559	0.00389854641	0.00389874514	0.00389854641	0.00389893453	2.51889371e-07	0	0	0	0	0	3
70	103	0	0.951118973	0.00389853629	0.00389873438	0.00389853629	0.00389892826	2.60629732e-07	0	0	0	0	0	3
71	104	0	0.964706387	0.00389852596	0.0038987235	0.00389852596	0.00389892217	2.6942147e-07	0	0	0	0	0	3
72	105	0	0.978293801	0.00389851603	0.00389871253	0.00389851603	0.00389891296	2.78176783e-07	0	0	0	0	0	3
73	106	0	0.991881215	0.00389850581	0.00389870152	0.00389850581	0.00389890382	2.86832604e-07	0	0	0	0	0	3
74	108	0	1.00546863	0.00389849599	0.0038986905	0.00389849599	0.00389889488	2.93174747e-07	3.89382725e-05	0	100	0	0	3
75	109	0	1.01905604	0.00389848582	0.00389867945	0.00389848582	0.00389888603	2.97882255e-07	3.89372378e-05	0	100	0	0	3
76	110	0	1.03264346	0.00389847616	0.00389866837	0.00389847616	0.00389887712	3.03200653e-07	3.89362401e-05	0	100	0	0	3
77	112	0	1.04623087	0.00389846615	0.00389865726	0.00389846615	0.00389886441	3.09004947e-07	3.89352271e-05	0	100	0	0	3
78	113	0	1.05981828	0.00389845657	0.00389864624	0.00389845657	0.00389885186	3.14854716e-07	3.89342416e-05	0	100	0	0	3
79	114	0	1.0734057	0.00389844663	0.00389863529	0.00389844663	0.00389883921	3.20748507e-07	3.89332287e-05	0	100	0	0	3
80	116	0	1.08699311	0.00389843706	0.00389862442	0.00389843706	0.00389882709	3.26522769e-07	3.89322584e-05	0	100	0	0	3
81	117	0	1.10058053	0.00389842732	0.00389861361	0.00389842732	0.00389881482	3.32063132e-07	3.89312633e-05	0	100	0	0	3
82	118	0	1.11416794	0.00389841793	0.00389860289	0.00389841793	0.00389880274	3.37344725e-07	3.89303079e-05	0	100	0	0	3
83	119	0	1.12775535	0.00389840828	0.00389859222	0.00389840828	0.00389879055	3.42279636e-07	3.8929321e-05	0	100	0	0	3
84	121	0	1.14134277	0.003898399	0.00389858164	0.003898399	0.00389877874	3.46930883e-07	3.89283716e-05	0	100	0	0	3
85	122	0	1.15493018	0.00389838958	0.00389857112	0.00389838958	0.00389876672	3.51203366e-07	3.89274045e-05	0	100	0	0	3
86	123	0	1.1685176	0.0038983805	0.00389856069	0.0038983805	0.00389875501	3.55132519e-07	3.89264775e-05	0	100	0	0	3
87	125	0	1.18210501	0.00389837112	0.00389855031	0.00389837112	0.00389874318	3.58684666e-07	3.8925516e-05	0	100	0	0	3
88	126	0	1.19569242	0.00389836192	0.00389854001	0.00389836192	0.00389873176	3.61877556e-07	3.89245873e-05	0	100	0	0	3
89	127	0	1.20927984	0.00389835255	0.00389852976	0.00389835255	0.0038987202	3.64751905e-07	3.89236399e-05	0	100	0	0	3
90	128	0	1.22286725	0.00389834346	0.00389851957	0.00389834346	0.00389870887	3.65417658e-07	3.89227173e-05	0	100	0	0	3
91	130	0	1.23645466	0.00389833421	0.00389850945	0.00389833421	0.00389869741	3.63196031e-07	3.89217791e-05	0	100	0	0	3
92	131	0	1.25004208	0.00389832514	0.00389849939	0.00389832514	0.00389868631	3.61167589e-07	3.89208742e-05	0	100	0	0	3
93	132	0	1.26362949	0.00389831594	0.00389848938	0.00389831594	0.00389867502	3.59072189e-07	3.89199451e-05	0	100	0	0	3
94	134	0	1.27721691	0.00389830699	0.00389847943	0.00389830699	0.00389866428	3.5729509e-07	3.89190514e-05	0	100	0	0	3
95	135	0	1.29080432	0.00389829784	0.00389846953	0.00389829784	0.00389865315	3.55312792e-07	3.89181334e-05	0	100	0	0	3
96	136	0	1.30439173	0.00389828902	0.00389845969	0.00389828902	0.0038986423	3.53280398e-07	3.89172444e-05	0	100	0	0	3
97	137	0	1.31797915	0.00389827999	0.00389844989	0.00389827999	0.00389863125	3.51261799e-07	3.89163381e-05	0	100	0	0	3
98	139	0	1.33156656	0.00389827131	0.00389844017	0.00389827131	0.00389862046	3.49144305e-07	3.89154701e-05	0	100	0	0	3
99	140	0	1.34515398	0.00389826235	0.00389843049	0.00389826235	0.00389860959	3.47244789e-07	3.89145709e-05	0	100	0	0	3
100	141	0	1.35874139	0.00389825364	0.00389842087	0.00389825364	0.00389859896	3.45319602e-07	3.89137081e-05	0	100	0	0	3
101	143	0	1.3723288	0.00389824486	0.0038984113	0.00389824486	0.00389858823	3.43368115e-07	3.89128289e-05	0	100	0	0	3
102	145	0	1.38591622	0.00389823633	0.00389840179	0.00389823633	0.00389857782	3.41498341e-07	3.89119739e-05	0	100	0	0	3
103	146	0	1.39950363	0.00389822763	0.00389839232	0.00389822763	0.00389856716	3.39526068e-07	3.89111028e-05	0	100	0	0	3
104	147	0	1.41309105	0.00389821909	0.00389838291	0.00389821909	0.00389855691	3.37820908e-07	3.89102606e-05	0	100	0	0	3
105	149	0	1.42667846	0.00389821042	0.00389837355	0.00389821042	0.00389854641	3.35983392e-07	3.89093959e-05	0	100	0	0	3
106	150	0	1.44026587	0.00389820193	0.00389836424	0.00389820193	0.00389853629	3.34367238e-07	3.89085636e-05	0	100	0	0	3
107	151	0	1.45385329	0.00389819324	0.00389835497	0.00389819324	0.00389852596	3.32721607e-07	3.89077033e-05	0	100	0	0	3
108	153	0	1.4674407	0.00389818488	0.00389834575	0.00389818488	0.00389851603	3.31153835e-07	3.89068782e-05	0	100	0	0	3
109	154	0	1.48102811	0.00389817641	0.00389833657	0.00389817641	0.00389850581	3.29406806e-07	3.89060328e-05	0	100	0	0	3
110	155	0	1.49461553	0.00389816803	0.00389832744	0.00389816803	0.00389849599	3.27961839e-07	3.89052122e-05	0	100	0	0	3
111	157	0	1.50820294	0.00389815963	0.00389831835	0.00389815963	0.00389848582	3.26188349e-07	3.89043818e-05	0	100	0	0	3
112	158	0	1.52179036	0.00389815138	0.00389830931	0.00389815138	0.00389847616	3.24779755e-07	3.89035788e-05	0	100	0	0	3
113	160	0	1.53537777	0.00389814304	0.00389830031	0.00389814304	0.00389846615	3.23115551e-07	3.8902753e-05	0	100	0	0	3
114	161	0	1.54896518	0.0038981348	0.00389829135	0.0038981348	0.00389845657	3.21772948e-07	3.89019558e-05	0	100	0	0	3
115	162	0	1.5625526	0.00389812645	0.00389828243	0.00389812645	0.00389844663	3.20173414e-07	3.89011369e-05	0	100	0	0	3
116	164	0	1.57614001	0.00389811829	0.00389827356	0.00389811829	0.00389843706	3.18764438e-07	3.89003464e-05	0	100	0	0	3
117	165	0	1.58972743	0.00389811014	0.00389826472	0.00389811014	0.00389842732	3.17183178e-07	3.88995444e-05	0	100	0	0	3
118	167	0	1.60331484	0.00389810215	0.00389825593	0.00389810215	0.00389841793	3.15771281e-07	3.88987677e-05	0	100	0	0	3
119	168	0	1.61690225	0.00389809394	0.00389824718	0.00389809394	0.00389840828	3.14346096e-07	3.88979649e-05	0	100	0	0	3
120	169	0	1.63048967	0.00389808588	0.00389823846	0.00389808588	0.003898399	3.13118557e-07	3.88971926e-05	0	100	0	0	3
121	171	0	1.64407708	0.00389807775	0.00389822978	0.00389807775	0.00389838958	3.11825521e-07	3.88964025e-05	0	100	0	0	3
122	172	0	1.6576645	0.00389806985	0.00389822114	0.00389806985	0.0038983805	3.10644002e-07	3.88956416e-05	0	100	0	0	3
123	174	0	1.67125191	0.00389806172	0.00389821252	0.00389806172	0.00389837112	3.09397293e-07	3.88948588e-05	0	100	0	0	3
124	175	0	1.68483932	0.00389805388	0.00389820395	0.00389805388	0.00389836192	3.08030626e-07	3.88941062e-05	0	100	0	0	3
125	177	0	1.69842674	0.00389804593	0.00389819541	0.00389804593	0.00389835255	3.06623483e-07	3.88933325e-05	0	100	0	0	3
126	178	0	1.71201415	0.00389803819	0.00389818691	0.00389803819	0.00389834346	3.05268095e-07	3.88925926e-05	0	100	0	0	3
127	180	0	1.72560157	0.00389803024	0.00389817845	0.00389803024	0.00389833421	3.03969577e-07	3.88918329e-05	0	100	0	0	3
128	181	0	1.73918898	0.00389802243	0.00389817002	0.00389802243	0.00389832514	3.02708655e-07	3.88910946e-05	0	100	0	0	3
129	183	0	1.75277639	0.00389801449	0.00389816162	0.00389801449	0.00389831594	3.01450096e-07	3.88903426e-05	0	100	0	0	3
130	184	0	1.76636381	0.00389800681	0.00389815327	0.00389800681	0.00389830699	3.00181518e-07	3.88896217e-05	0	100	0	0	3
131	186	0	1.77995122	0.00389799897	0.00389814494	0.00389799897	0.00389829784	2.98870054e-07	3.88888736e-05	0	100	0	0	3
132	188	0	1.79353863	0.00389799126	0.00389813666	0.00389799126	0.00389828902	2.97756098e-07	3.88881531e-05	0	100	0	0	3
133	189	0	1.80712605	0.00389798349	0.0038981284	0.00389798349	0.00389827999	2.96503022e-07	3.88874188e-05	0	100	0	0	3
