Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0135874139	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
2	10	0	0.0271748278	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
3	12	0	0.0407622417	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
4	13	0	0.0543496556	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
5	15	0	0.0679370695	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
6	17	0	0.0815244834	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
7	19	0	0.0951118973	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
8	20	0	0.108699311	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
9	22	0	0.122286725	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
10	23	0	0.135874139	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
11	25	0	0.149461553	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
12	26	0	0.163048967	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
13	27	0	0.176636381	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
14	29	0	0.190223795	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
15	30	0	0.203811208	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
16	32	0	0.217398622	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
17	33	0	0.230986036	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
18	34	0	0.24457345	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
19	36	0	0.258160864	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
20	37	0	0.271748278	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
21	39	0	0.285335692	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
22	40	0	0.298923106	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
23	41	0	0.31251052	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
24	42	0	0.326097934	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
25	44	0	0.339685347	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
26	45	0	0.353272761	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
27	46	0	0.366860175	366.65	366.65	366.65	366.65	0	0	0	0	0	0	3
