Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0135874139	-0.0287424247	-0.0287424247	-0.0287424247	-0.0287424247	0	0	0	0	0	0	3
2	10	0	0.0271748278	-0.0287837121	-0.0287630684	-0.0287837121	-0.0287424247	2.064368e-05	0	0	0	0	0	3
3	12	0	0.0407622417	-0.0269375155	-0.0281545508	-0.0287837121	-0.0269375155	0.00060851761	0	0	0	0	0	3
4	13	0	0.0543496556	-0.0254221888	-0.0274714603	-0.0287837121	-0.0254221888	0.0012916081	0	0	0	0	0	3
5	15	0	0.0679370695	-0.0248724199	-0.0269516522	-0.0287837121	-0.0248724199	0.00181141617	0	0	0	0	0	3
6	17	0	0.0815244834	-0.024235578	-0.0264989732	-0.0287837121	-0.024235578	0.0022640952	0	0	0	0	0	3
7	19	0	0.0951118973	-0.0238978547	-0.0261273848	-0.0287837121	-0.0238978547	0.00263568356	0	0	0	0	0	3
8	20	0	0.108699311	-0.0235233304	-0.025801878	-0.0287837121	-0.0235233304	0.00296119036	0	0	0	0	0	3
9	22	0	0.122286725	-0.0233667548	-0.0255313088	-0.0287837121	-0.0233667548	0.00323175961	0	0	0	0	0	3
10	23	0	0.135874139	-0.023157321	-0.02529391	-0.0287837121	-0.023157321	0.00346915839	0	0	0	0	0	3
11	25	0	0.149461553	-0.0230812966	-0.0250927633	-0.0287837121	-0.0230812966	0.00367030506	0	0	0	0	0	3
12	26	0	0.163048967	-0.0229130159	-0.0249111177	-0.0287837121	-0.0229130159	0.00385195068	0	0	0	0	0	3
13	27	0	0.176636381	-0.0228522636	-0.0247527443	-0.0287837121	-0.0228522636	0.00401032407	0	0	0	0	0	3
14	29	0	0.190223795	-0.0227549815	-0.024610047	-0.0287837121	-0.0227549815	0.00415302142	0	0	0	0	0	3
15	30	0	0.203811208	-0.0227123387	-0.0244835331	-0.0287837121	-0.0227123387	0.0042795353	0	0	0	0	0	3
16	32	0	0.217398622	-0.0226474586	-0.0243687784	-0.0287837121	-0.0226474586	0.00439428995	0	0	0	0	0	3
17	33	0	0.230986036	-0.0226222079	-0.024266039	-0.0287837121	-0.0226222079	0.0044970294	0	0	0	0	0	3
18	34	0	0.24457345	-0.0225959509	-0.0241732563	-0.0287837121	-0.0225959509	0.00458981207	0	0	0	0	0	3
19	36	0	0.258160864	-0.0225837634	-0.0240895988	-0.0287837121	-0.0225837634	0.00467346959	0	0	0	0	0	3
20	37	0	0.271748278	-0.0225723539	-0.0240137365	-0.0287837121	-0.0225723539	0.00474933183	0	0	0	0	0	3
21	39	0	0.285335692	-0.0225760141	-0.0239452736	-0.0287837121	-0.0225723539	0.00481779481	0	0	0	0	0	3
22	40	0	0.298923106	-0.0225730311	-0.0238828989	-0.0287837121	-0.0225723539	0.00488016946	0	0	0	0	0	3
23	41	0	0.31251052	-0.0225771242	-0.0238261261	-0.0287837121	-0.0225723539	0.00493694228	0	0	0	0	0	3
24	42	0	0.326097934	-0.0225775377	-0.0237741016	-0.0287837121	-0.0225723539	0.00498896679	0	0	0	0	0	3
25	44	0	0.339685347	-0.0225826863	-0.023726445	-0.0287837121	-0.0225723539	0.0050366234	0	0	0	0	0	3
26	45	0	0.353272761	-0.0225870875	-0.0236826235	-0.0287837121	-0.0225723539	0.00508044484	0	0	0	0	0	3
27	46	0	0.366860175	-0.0225981551	-0.023642458	-0.0287837121	-0.0225723539	0.00512061034	0	0	0	0	0	3
28	48	0	0.380447589	-0.022609436	-0.0236055644	-0.0287837121	-0.0225723539	0.00515750399	0	0	0	0	0	3
29	49	0	0.394035003	-0.0226218646	-0.0235716437	-0.0287837121	-0.0225723539	0.00519142467	0	0	0	0	0	3
30	51	0	0.407622417	-0.022635079	-0.0235404249	-0.0287837121	-0.0225723539	0.00522264349	0	0	0	0	0	3
31	52	0	0.421209831	-0.0226443241	-0.0235115184	-0.0287837121	-0.0225723539	0.00525154997	0	0	0	0	0	3
32	53	0	0.434797245	-0.0226553195	-0.0234847622	-0.0287837121	-0.0225723539	0.00527830618	0	0	0	0	0	3
33	55	0	0.448384659	-0.0226636387	-0.0234598797	-0.0287837121	-0.0225723539	0.00530318871	0	0	0	0	0	3
34	56	0	0.461972073	-0.0226693642	-0.0234366292	-0.0287837121	-0.0225723539	0.00532643917	0	0	0	0	0	3
35	57	0	0.475559486	-0.0226755503	-0.0234148841	-0.0287837121	-0.0225723539	0.00534818428	0	0	0	0	0	3
36	59	0	0.4891469	-0.0226808667	-0.0233944947	-0.0287837121	-0.0225723539	0.00536857365	0	0	0	0	0	3
37	60	0	0.502734314	-0.0226830532	-0.0233752666	-0.0287837121	-0.0225723539	0.0053878018	0	0	0	0	0	3
38	61	0	0.516321728	-0.0226844709	-0.0232115381	-0.0287837121	-0.0225723539	0.00555153028	0	0	0	0	0	3
39	62	0	0.529909142	-0.0226869003	-0.0230467594	-0.0269375155	-0.0225723539	0.00436516161	0	0	0	0	0	3
40	64	0	0.543496556	-0.0226879487	-0.0229319062	-0.0254221888	-0.0225723539	0.00284983489	0	0	0	0	0	3
41	65	0	0.55708397	-0.0226885593	-0.0228580244	-0.0248724199	-0.0225723539	0.00230006599	0	0	0	0	0	3
42	66	0	0.570671384	-0.0226908308	-0.0227990625	-0.024235578	-0.0225723539	0.0016632241	0	0	0	0	0	3
43	67	0	0.584258798	-0.0226910473	-0.0227573184	-0.0238978547	-0.0225723539	0.00132550073	0	0	0	0	0	3
44	69	0	0.597846212	-0.0226930495	-0.0227247561	-0.0235233304	-0.0225723539	0.000950976434	0	0	0	0	0	3
45	70	0	0.611433625	-0.0226948766	-0.0227023655	-0.0233667548	-0.0225723539	0.000794400844	0	0	0	0	0	3
46	71	0	0.625021039	-0.0226965491	-0.0226842518	-0.023157321	-0.0225723539	0.000584967049	0	0	0	0	0	3
47	73	0	0.638608453	-0.0226966985	-0.0226718026	-0.0230812966	-0.0225723539	0.000508942683	0	0	0	0	0	3
48	74	0	0.652195867	-0.0226983771	-0.0226614534	-0.0229130159	-0.0225723539	0.000340661952	0	0	0	0	0	3
49	75	0	0.665783281	-0.0227017256	-0.0226557428	-0.0228522636	-0.0225723539	0.00027990964	0	0	0	0	0	3
50	77	0	0.679370695	-0.0227030089	-0.0226517089	-0.0227549815	-0.0225723539	0.000182627576	0	0	0	0	0	3
51	78	0	0.692958109	-0.022705269	-0.0226503653	-0.0227123387	-0.0225723539	0.000139984788	0	0	0	0	0	3
52	79	0	0.706545523	-0.0227055999	-0.0226501832	-0.0227055999	-0.0225723539	0.000133245976	0	0	0	0	0	3
53	80	0	0.720132937	-0.0227083344	-0.0226518285	-0.0227083344	-0.0225723539	0.000135980422	0	0	0	0	0	3
54	82	0	0.733720351	-0.0227090978	-0.0226541769	-0.0227090978	-0.0225723539	0.000136743881	0	0	0	0	0	3
55	83	0	0.747307764	-0.0227121149	-0.0226573164	-0.0227121149	-0.0225723539	0.000139760928	0	0	0	0	0	3
56	84	0	0.760895178	-0.0227130098	-0.0226608096	-0.0227130098	-0.0225723539	0.000140655896	0	0	0	0	0	3
57	86	0	0.774482592	-0.0227151401	-0.0226646687	-0.0227151401	-0.0225730311	0.000142108937	0	0	0	0	0	3
58	87	0	0.788070006	-0.022714899	-0.0226684223	-0.0227151401	-0.0225730311	0.000142108937	0	0	0	0	0	3
59	88	0	0.80165742	-0.0227178754	-0.022672337	-0.0227178754	-0.0225771242	0.000140751222	0	0	0	0	0	3
60	90	0	0.815244834	-0.022719475	-0.0226761843	-0.022719475	-0.0225775377	0.000141937272	0	0	0	0	0	3
61	91	0	0.828832248	-0.0227201724	-0.0226800393	-0.0227201724	-0.0225826863	0.000137486088	0	0	0	0	0	3
62	92	0	0.842419662	-0.022719753	-0.0226837438	-0.0227201724	-0.0225870875	0.000133084902	0	0	0	0	0	3
63	93	0	0.856007076	-0.022720541	-0.0226873507	-0.022720541	-0.0225981551	0.000122385883	0	0	0	0	0	3
64	95	0	0.869594489	-0.02272118	-0.0226906757	-0.02272118	-0.022609436	0.000111744076	0	0	0	0	0	3
65	96	0	0.883181903	-0.0227219385	-0.0226937163	-0.0227219385	-0.0226218646	0.000100073873	0	0	0	0	0	3
66	97	0	0.896769317	-0.0227218796	-0.0226964194	-0.0227219385	-0.022635079	8.68595156e-05	0	0	0	0	0	3
67	99	0	0.910356731	-0.0227220184	-0.0226987691	-0.0227220184	-0.0226443241	7.76942642e-05	0	0	0	0	0	3
68	100	0	0.923944145	-0.0227206752	-0.0227008327	-0.0227220184	-0.0226553195	6.66988149e-05	0	0	0	0	0	3
69	101	0	0.937531559	-0.0227209944	-0.0227026077	-0.0227220184	-0.0226636387	5.8379621e-05	0	0	0	0	0	3
