Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	9	0	0.0135874139	293.2	293.2	293.2	293.2	0	0	0	0	0	0	3
2	10	0	0.0271748278	293.2	293.2	293.2	293.2	2.68650524e-08	0	0	0	0	0	3
3	12	0	0.0407622417	293.2	293.2	293.2	293.2	5.4942177e-08	0	0	0	0	0	3
4	13	0	0.0543496556	293.2	293.2	293.2	293.2	8.35896117e-08	0	0	0	0	0	3
5	15	0	0.0679370695	293.2	293.2	293.2	293.2	1.18042067e-07	0	0	0	0	0	3
6	17	0	0.0815244834	293.2	293.2	293.2	293.2	1.58097919e-07	0	0	0	0	0	3
7	19	0	0.0951118973	293.200001	293.2	293.2	293.200001	2.14355964e-07	0	0	0	0	0	3
8	20	0	0.108699311	293.200001	293.2	293.2	293.200001	3.26844997e-07	0	0	0	0	0	3
9	22	0	0.122286725	293.20001	293.200001	293.2	293.20001	1.4469307e-06	0	0	0	0	0	3
10	23	0	0.135874139	293.200035	293.200005	293.2	293.200035	4.84151514e-06	0	0	0	0	0	3
11	25	0	0.149461553	293.201928	293.20018	293.2	293.201928	0.000179699591	0	0	0	0	0	3
12	26	0	0.163048967	293.204368	293.200529	293.2	293.204368	0.000528715114	0	0	0	0	0	3
13	27	0	0.176636381	293.206547	293.200992	293.2	293.206547	0.000991656226	0	0	0	0	0	3
14	29	0	0.190223795	293.208612	293.201536	293.2	293.208612	0.00153593528	0	0	0	0	0	3
15	30	0	0.203811208	293.210309	293.202121	293.2	293.210309	0.00212079221	0	0	0	0	0	3
16	32	0	0.217398622	293.213004	293.202801	293.2	293.213004	0.0028009933	0	0	0	0	0	3
17	33	0	0.230986036	293.215109	293.203525	293.2	293.215109	0.00352496717	0	0	0	0	0	3
18	34	0	0.24457345	293.217435	293.204298	293.2	293.217435	0.00429774334	0	0	0	0	0	3
